Morphology_R,Morphology_H,Production_H,Production_R,UR,SR,simplify_delete_obstruent,simplify_delete_lateral,nasalize,lateralize,tensify,Type,n,IPA_Morphology_R,IPA_UR,IPA_SR
Jalp-akaciko,짧아가지고,,,lp-a,lpa,0,0,,,0,lC+Vowel,3,c*alp-akaciko,lp-a,lpa
Jalp-asv,짧아서,,,lp-a,lpa,0,0,,,0,lC+Vowel,20,c*alp-asʌ,lp-a,lpa
Jalp-ato,짧아도,,,lp-a,lpa,0,0,,,0,lC+Vowel,3,c*alp-ato,lp-a,lpa
Jalp-ayo,짧아요,,,lp-a,lpa,0,0,,,0,lC+Vowel,5,c*alp-ajo,lp-a,lpa
Jalp-aSki,짧았기,,,lp-a,lpa,0,0,,,0,lC+Vowel,3,c*alp-as*ki,lp-a,lpa
Jalp-aSkvtxnyo,짧았거든요,,,lp-a,lpa,0,0,,,0,lC+Vowel,2,c*alp-as*kʌtɨnjo,lp-a,lpa
Jalp-aSnxnte,짧았는데,,,lp-a,lpa,0,0,,,0,lC+Vowel,1,c*alp-as*nɨnte,lp-a,lpa
Jalp-aStanxn,짧았다는,,,lp-a,lpa,0,0,,,0,lC+Vowel,1,c*alp-as*tanɨn,lp-a,lpa
Jalp-aStvn,짧았던,,,lp-a,lpa,0,0,,,0,lC+Vowel,4,c*alp-as*tʌn,lp-a,lpa
Jalp-aSvyo,짧았어요,,,lp-a,lpa,0,0,,,0,lC+Vowel,2,c*alp-as*ʌjo,lp-a,lpa
Jalp-x,짧으,,,lp-x,lpx,0,0,,,0,lC+Vowel,1,c*alp-ɨ,lp-ɨ,lpɨ
Jalp-xmyvn,짧으면,,,lp-x,lpx,0,0,,,0,lC+Vowel,8,c*alp-ɨmjʌn,lp-ɨ,lpɨ
Jalp-xniga,짧으니까,,,lp-x,lpx,0,0,,,0,lC+Vowel,5,c*alp-ɨnik*a,lp-ɨ,lpɨ
Jalp-xl,짧을,,,lp-x,lpx,0,0,,,0,lC+Vowel,2,c*alp-ɨl,lp-ɨ,lpɨ
Jalp-xn,짧은,,,lp-x,lpx,0,0,,,0,lC+Vowel,151,c*alp-ɨn,lp-ɨ,lpɨ
Jalp-xnte,짧은데,,,lp-x,lpx,0,0,,,0,lC+Vowel,6,c*alp-ɨnte,lp-ɨ,lpɨ
Jalp-xnteto,짧은데도,,,lp-x,lpx,0,0,,,0,lC+Vowel,1,c*alp-ɨnteto,lp-ɨ,lpɨ
Poknvlp-xn,폭넓은,,,lp-x,lpx,0,0,,,0,lC+Vowel,4,pʰoknʌlp-ɨn,lp-ɨ,lpɨ
cilm-vcikeSta,짊어지겠다,,,lm-v,lmv,0,0,,,0,lC+Vowel,1,cilm-ʌcikes*ta,lm-ʌ,lmʌ
cilm-vciko,짊어지고,,,lm-v,lmv,0,0,,,0,lC+Vowel,11,cilm-ʌciko,lm-ʌ,lmʌ
cilm-vcilyvko,짊어지려고,,,lm-v,lmv,0,0,,,0,lC+Vowel,1,cilm-ʌciljʌko,lm-ʌ,lmʌ
cilm-vcinxn,짊어지는,,,lm-v,lmv,0,0,,,0,lC+Vowel,2,cilm-ʌcinɨn,lm-ʌ,lmʌ
cilm-vcil,짊어질,,,lm-v,lmv,0,0,,,0,lC+Vowel,1,cilm-ʌcil,lm-ʌ,lmʌ
cilm-vcilga,짊어질까,,,lm-v,lmv,0,0,,,0,lC+Vowel,1,cilm-ʌcilk*a,lm-ʌ,lmʌ
cilm-vcyvto,짊어져도,,,lm-v,lmv,0,0,,,0,lC+Vowel,1,cilm-ʌcjʌto,lm-ʌ,lmʌ
cilm-vcyvya,짊어져야,,,lm-v,lmv,0,0,,,0,lC+Vowel,2,cilm-ʌcjʌja,lm-ʌ,lmʌ
cispalp-apvlin,짓밟아버린,,,lp-a,lpa,0,0,,,0,lC+Vowel,1,cispalp-apʌlin,lp-a,lpa
cispalp-aStvn,짓밟았던,,,lp-a,lpa,0,0,,,0,lC+Vowel,1,cispalp-as*tʌn,lp-a,lpa
cvlm-v,젊어,,,lm-v,lmv,0,0,,,0,lC+Vowel,6,cʌlm-ʌ,lm-ʌ,lmʌ
cvlm-vciko,젊어지고,,,lm-v,lmv,0,0,,,0,lC+Vowel,1,cʌlm-ʌciko,lm-ʌ,lmʌ
cvlm-vciniga,젊어지니까,,,lm-v,lmv,0,0,,,0,lC+Vowel,2,cʌlm-ʌcinik*a,lm-ʌ,lmʌ
cvlm-vcinxn,젊어지는,,,lm-v,lmv,0,0,,,0,lC+Vowel,2,cʌlm-ʌcinɨn,lm-ʌ,lmʌ
cvlm-vcin,젊어진,,,lm-v,lmv,0,0,,,0,lC+Vowel,1,cʌlm-ʌcin,lm-ʌ,lmʌ
cvlm-vkaciko,젊어가지고,,,lm-v,lmv,0,0,,,0,lC+Vowel,1,cʌlm-ʌkaciko,lm-ʌ,lmʌ
cvlm-vsv,젊어서,,,lm-v,lmv,0,0,,,0,lC+Vowel,20,cʌlm-ʌsʌ,lm-ʌ,lmʌ
cvlm-vsvnxn,젊어서는,,,lm-v,lmv,0,0,,,0,lC+Vowel,5,cʌlm-ʌsʌnɨn,lm-ʌ,lmʌ
cvlm-vsvpuTv,젊어서부터,,,lm-v,lmv,0,0,,,0,lC+Vowel,1,cʌlm-ʌsʌputʰʌ,lm-ʌ,lmʌ
cvlm-vsvto,젊어서도,,,lm-v,lmv,0,0,,,0,lC+Vowel,2,cʌlm-ʌsʌto,lm-ʌ,lmʌ
cvlm-vyo,젊어요,,,lm-v,lmv,0,0,,,0,lC+Vowel,1,cʌlm-ʌjo,lm-ʌ,lmʌ
cvlm-vS,젊었,,,lm-v,lmv,0,0,,,0,lC+Vowel,1,cʌlm-ʌs*,lm-ʌ,lmʌ
cvlm-vScanhayo,젊었잖아요,,,lm-v,lmv,0,0,,,0,lC+Vowel,1,cʌlm-ʌs*canhajo,lm-ʌ,lmʌ
cvlm-vSkeScyo,젊었겠죠,,,lm-v,lmv,0,0,,,0,lC+Vowel,1,cʌlm-ʌs*kes*cjo,lm-ʌ,lmʌ
cvlm-vSvStvn,젊었었던,,,lm-v,lmv,0,0,,,0,lC+Vowel,1,cʌlm-ʌs*ʌs*tʌn,lm-ʌ,lmʌ
cvlm-vSxmyvn,젊었으면,,,lm-v,lmv,0,0,,,0,lC+Vowel,1,cʌlm-ʌs*ɨmjʌn,lm-ʌ,lmʌ
cvlm-vSxmyvnxn,젊었으면은,,,lm-v,lmv,0,0,,,0,lC+Vowel,2,cʌlm-ʌs*ɨmjʌnɨn,lm-ʌ,lmʌ
cvlm-vSxniga,젊었으니까,,,lm-v,lmv,0,0,,,0,lC+Vowel,2,cʌlm-ʌs*ɨnik*a,lm-ʌ,lmʌ
cvlm-vSxl,젊었을,,,lm-v,lmv,0,0,,,0,lC+Vowel,184,cʌlm-ʌs*ɨl,lm-ʌ,lmʌ
cvlm-x,젊으,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,cʌlm-ɨ,lm-ɨ,lmɨ
cvlm-xna,젊으나,,,lm-x,lmx,0,0,,,0,lC+Vowel,3,cʌlm-ɨna,lm-ɨ,lmɨ
cvlm-xniga,젊으니까,,,lm-x,lmx,0,0,,,0,lC+Vowel,12,cʌlm-ɨnik*a,lm-ɨ,lmɨ
cvlm-xnigan,젊으니깐,,,lm-x,lmx,0,0,,,0,lC+Vowel,2,cʌlm-ɨnik*an,lm-ɨ,lmɨ
cvlm-xsicanhayo,젊으시잖아요,,,lm-x,lmx,0,0,,,0,lC+Vowel,3,cʌlm-ɨsicanhajo,lm-ɨ,lmɨ
cvlm-xsikinxn,젊으시기는,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,cʌlm-ɨsikinɨn,lm-ɨ,lmɨ
cvlm-xsiniga,젊으시니까,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,cʌlm-ɨsinik*a,lm-ɨ,lmɨ
cvlm-xsita,젊으시다,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,cʌlm-ɨsita,lm-ɨ,lmɨ
cvlm-xsil,젊으실,,,lm-x,lmx,0,0,,,0,lC+Vowel,3,cʌlm-ɨsil,lm-ɨ,lmɨ
cvlm-xsin,젊으신,,,lm-x,lmx,0,0,,,0,lC+Vowel,12,cʌlm-ɨsin,lm-ɨ,lmɨ
cvlm-xsinte,젊으신데,,,lm-x,lmx,0,0,,,0,lC+Vowel,2,cʌlm-ɨsinte,lm-ɨ,lmɨ
cvlm-xsyvkaciko,젊으셔가지고,,,lm-x,lmx,0,0,,,0,lC+Vowel,2,cʌlm-ɨsjʌkaciko,lm-ɨ,lmɨ
cvlm-xsyvkacko,젊으셔갖고,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,cʌlm-ɨsjʌkacko,lm-ɨ,lmɨ
cvlm-xsyvsv,젊으셔서,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,cʌlm-ɨsjʌsʌ,lm-ɨ,lmɨ
cvlm-xsyvSkvtxnyo,젊으셨거든요,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,cʌlm-ɨsjʌs*kʌtɨnjo,lm-ɨ,lmɨ
cvlm-xsyvSxl,젊으셨을,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,cʌlm-ɨsjʌs*ɨl,lm-ɨ,lmɨ
cvlm-xl,젊을,,,lm-x,lmx,0,0,,,0,lC+Vowel,43,cʌlm-ɨl,lm-ɨ,lmɨ
cvlm-xm,젊음,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,cʌlm-ɨm,lm-ɨ,lmɨ
cvlm-xmxl,젊음을,,,lm-x,lmx,0,0,,,0,lC+Vowel,4,cʌlm-ɨmɨl,lm-ɨ,lmɨ
cvlm-xn,젊은,,,lm-x,lmx,0,0,,,0,lC+Vowel,520,cʌlm-ɨn,lm-ɨ,lmɨ
cvlm-xnCxNina,젊은층이나,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,cʌlm-ɨncʰɨŋina,lm-ɨ,lmɨ
cvlm-xnCxNxlo,젊은층으로,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,cʌlm-ɨncʰɨŋɨlo,lm-ɨ,lmɨ
cvlm-xnCxNxy,젊은층의,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,cʌlm-ɨncʰɨŋɨj,lm-ɨ,lmɨ
cvlm-xni,젊은이,,,lm-x,lmx,0,0,,,0,lC+Vowel,3,cʌlm-ɨni,lm-ɨ,lmɨ
cvlm-xnika,젊은이가,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,cʌlm-ɨnika,lm-ɨ,lmɨ
cvlm-xnilamyvn,젊은이라면,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,cʌlm-ɨnilamjʌn,lm-ɨ,lmɨ
cvlm-xnilanxn,젊은이라는,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,cʌlm-ɨnilanɨn,lm-ɨ,lmɨ
cvlm-xniman,젊은이만,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,cʌlm-ɨniman,lm-ɨ,lmɨ
cvlm-xniniga,젊은이니까,,,lm-x,lmx,0,0,,,0,lC+Vowel,2,cʌlm-ɨninik*a,lm-ɨ,lmɨ
cvlm-xnita,젊은이다,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,cʌlm-ɨnita,lm-ɨ,lmɨ
cvlm-xnitxl,젊은이들,,,lm-x,lmx,0,0,,,0,lC+Vowel,5,cʌlm-ɨnitɨl,lm-ɨ,lmɨ
cvlm-xnitxle,젊은이들에,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,cʌlm-ɨnitɨle,lm-ɨ,lmɨ
cvlm-xnitxleke,젊은이들에게,,,lm-x,lmx,0,0,,,0,lC+Vowel,2,cʌlm-ɨnitɨleke,lm-ɨ,lmɨ
cvlm-xnitxleketo,젊은이들에게도,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,cʌlm-ɨnitɨleketo,lm-ɨ,lmɨ
cvlm-xnitxlhanTe,젊은이들한테,,,lm-x,lmx,0,0,,,0,lC+Vowel,5,cʌlm-ɨnitɨlhantʰe,lm-ɨ,lmɨ
cvlm-xnitxlhanTeto,젊은이들한테도,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,cʌlm-ɨnitɨlhantʰeto,lm-ɨ,lmɨ
cvlm-xnitxli,젊은이들이,,,lm-x,lmx,0,0,,,0,lC+Vowel,24,cʌlm-ɨnitɨli,lm-ɨ,lmɨ
cvlm-xnitxlina,젊은이들이나,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,cʌlm-ɨnitɨlina,lm-ɨ,lmɨ
cvlm-xnitxlivSxmyvn,젊은이들이었으면,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,cʌlm-ɨnitɨliʌs*ɨmjʌn,lm-ɨ,lmɨ
cvlm-xnitxltapci,젊은이들답지,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,cʌlm-ɨnitɨltapci,lm-ɨ,lmɨ
cvlm-xnitxlto,젊은이들도,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,cʌlm-ɨnitɨlto,lm-ɨ,lmɨ
cvlm-xnitxlxl,젊은이들을,,,lm-x,lmx,0,0,,,0,lC+Vowel,2,cʌlm-ɨnitɨlɨl,lm-ɨ,lmɨ
cvlm-xnitxlxn,젊은이들은,,,lm-x,lmx,0,0,,,0,lC+Vowel,10,cʌlm-ɨnitɨlɨn,lm-ɨ,lmɨ
cvlm-xnitxlxy,젊은이들의,,,lm-x,lmx,0,0,,,0,lC+Vowel,5,cʌlm-ɨnitɨlɨj,lm-ɨ,lmɨ
cvlm-xnixy,젊은이의,,,lm-x,lmx,0,0,,,0,lC+Vowel,2,cʌlm-ɨniɨj,lm-ɨ,lmɨ
cvlm-xnte,젊은데,,,lm-x,lmx,0,0,,,0,lC+Vowel,6,cʌlm-ɨnte,lm-ɨ,lmɨ
halT-acuko,핥아주고,,,lT-a,lTa,0,0,,,0,lC+Vowel,3,haltʰ-acuko,ltʰ-a,ltʰa
halT-acukvna,핥아주거나,,,lT-a,lTa,0,0,,,0,lC+Vowel,1,haltʰ-acukʌna,ltʰ-a,ltʰa
halT-acutvlako,핥아주더라고,,,lT-a,lTa,0,0,,,0,lC+Vowel,1,haltʰ-acutʌlako,ltʰ-a,ltʰa
halT-acuntatxnka,핥아준다든가,,,lT-a,lTa,0,0,,,0,lC+Vowel,1,haltʰ-acuntatɨnka,ltʰ-a,ltʰa
halT-akamyvnsv,핥아가면서,,,lT-a,lTa,0,0,,,0,lC+Vowel,1,haltʰ-akamjʌnsʌ,ltʰ-a,ltʰa
halT-asv,핥아서,,,lT-a,lTa,0,0,,,0,lC+Vowel,3,haltʰ-asʌ,ltʰ-a,ltʰa
halT-ayo,핥아요,,,lT-a,lTa,0,0,,,0,lC+Vowel,3,haltʰ-ajo,ltʰ-a,ltʰa
halT-aSxl,핥았을,,,lT-a,lTa,0,0,,,0,lC+Vowel,1,haltʰ-as*ɨl,ltʰ-a,ltʰa
halT-xmyvn,핥으면,,,lT-x,lTx,0,0,,,0,lC+Vowel,1,haltʰ-ɨmjʌn,ltʰ-ɨ,ltʰɨ
hemalk-xm,해맑음,,,lk-x,lkx,0,0,,,0,lC+Vowel,1,hemalk-ɨm,lk-ɨ,lkɨ
hulT-v,훑어,,,lT-v,lTv,0,0,,,0,lC+Vowel,1,hultʰ-ʌ,ltʰ-ʌ,ltʰʌ
hulT-vpoko,훑어보고,,,lT-v,lTv,0,0,,,0,lC+Vowel,5,hultʰ-ʌpoko,ltʰ-ʌ,ltʰʌ
hulT-vpomyvn,훑어보면,,,lT-v,lTv,0,0,,,0,lC+Vowel,1,hultʰ-ʌpomjʌn,ltʰ-ʌ,ltʰʌ
hulT-vpomyvnsv,훑어보면서,,,lT-v,lTv,0,0,,,0,lC+Vowel,1,hultʰ-ʌpomjʌnsʌ,ltʰ-ʌ,ltʰʌ
hulT-vposin,훑어보신,,,lT-v,lTv,0,0,,,0,lC+Vowel,1,hultʰ-ʌposin,ltʰ-ʌ,ltʰʌ
hulT-vpotaka,훑어보다가,,,lT-v,lTv,0,0,,,0,lC+Vowel,1,hultʰ-ʌpotaka,ltʰ-ʌ,ltʰʌ
hulT-vpotvni,훑어보더니,,,lT-v,lTv,0,0,,,0,lC+Vowel,1,hultʰ-ʌpotʌni,ltʰ-ʌ,ltʰʌ
hulT-vpwaya,훑어봐야,,,lT-v,lTv,0,0,,,0,lC+Vowel,1,hultʰ-ʌpwaja,ltʰ-ʌ,ltʰʌ
ilk-v,읽어,,,lk-v,lkv,0,0,,,0,lC+Vowel,15,ilk-ʌ,lk-ʌ,lkʌ
ilk-vcin,읽어진,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌcin,lk-ʌ,lkʌ
ilk-vcuca,읽어주자,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌcuca,lk-ʌ,lkʌ
ilk-vcuke,읽어주게,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌcuke,lk-ʌ,lkʌ
ilk-vcukin,읽어주긴,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌcukin,lk-ʌ,lkʌ
ilk-vcuko,읽어주고,,,lk-v,lkv,0,0,,,0,lC+Vowel,2,ilk-ʌcuko,lk-ʌ,lkʌ
ilk-vcukvna,읽어주거나,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌcukʌna,lk-ʌ,lkʌ
ilk-vcumyvn,읽어주면,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌcumjʌn,lk-ʌ,lkʌ
ilk-vcumyvnsv,읽어주면서,,,lk-v,lkv,0,0,,,0,lC+Vowel,4,ilk-ʌcumjʌnsʌ,lk-ʌ,lkʌ
ilk-vcunxn,읽어주는,,,lk-v,lkv,0,0,,,0,lC+Vowel,7,ilk-ʌcunɨn,lk-ʌ,lkʌ
ilk-vcunxnte,읽어주는데,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌcunɨnte,lk-ʌ,lkʌ
ilk-vcusikito,읽어주시기도,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌcusikito,lk-ʌ,lkʌ
ilk-vcusikvtxn,읽어주시거든,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌcusikʌtɨn,lk-ʌ,lkʌ
ilk-vcun,읽어준,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌcun,lk-ʌ,lkʌ
ilk-vcwvSkvtxn,읽어줬거든,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌcwʌs*kʌtɨn,lk-ʌ,lkʌ
ilk-vcyvsv,읽어져서,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌcjʌsʌ,lk-ʌ,lkʌ
ilk-vkanxn,읽어가는,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌkanɨn,lk-ʌ,lkʌ
ilk-vla,읽어라,,,lk-v,lkv,0,0,,,0,lC+Vowel,3,ilk-ʌla,lk-ʌ,lkʌ
ilk-vneko,읽어내고,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌneko,lk-ʌ,lkʌ
ilk-vnenxn,읽어내는,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌnenɨn,lk-ʌ,lkʌ
ilk-vpoci,읽어보지,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌpoci,lk-ʌ,lkʌ
ilk-vpocinxn,읽어보지는,,,lk-v,lkv,0,0,,,0,lC+Vowel,2,ilk-ʌpocinɨn,lk-ʌ,lkʌ
ilk-vpocin,읽어보진,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌpocin,lk-ʌ,lkʌ
ilk-vpokie,읽어보기에,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌpokie,lk-ʌ,lkʌ
ilk-vpokinxn,읽어보기는,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌpokinɨn,lk-ʌ,lkʌ
ilk-vpokin,읽어보긴,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌpokin,lk-ʌ,lkʌ
ilk-vpoko,읽어보고,,,lk-v,lkv,0,0,,,0,lC+Vowel,2,ilk-ʌpoko,lk-ʌ,lkʌ
ilk-vpokonxn,읽어보고는,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌpokonɨn,lk-ʌ,lkʌ
ilk-vpolako,읽어보라고,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌpolako,lk-ʌ,lkʌ
ilk-vpolv,읽어보러,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌpolʌ,lk-ʌ,lkʌ
ilk-vpomyvn,읽어보면,,,lk-v,lkv,0,0,,,0,lC+Vowel,5,ilk-ʌpomjʌn,lk-ʌ,lkʌ
ilk-vpomyvnsv,읽어보면서,,,lk-v,lkv,0,0,,,0,lC+Vowel,2,ilk-ʌpomjʌnsʌ,lk-ʌ,lkʌ
ilk-vpomyvnxn,읽어보면은,,,lk-v,lkv,0,0,,,0,lC+Vowel,4,ilk-ʌpomjʌnɨn,lk-ʌ,lkʌ
ilk-vponiga,읽어보니까,,,lk-v,lkv,0,0,,,0,lC+Vowel,8,ilk-ʌponik*a,lk-ʌ,lkʌ
ilk-vponxn,읽어보는,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌponɨn,lk-ʌ,lkʌ
ilk-vposinxn,읽어보시는,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌposinɨn,lk-ʌ,lkʌ
ilk-vposintako,읽어보신다고,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌposintako,lk-ʌ,lkʌ
ilk-vposyvScyo,읽어보셨죠,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌposjʌs*cjo,lk-ʌ,lkʌ
ilk-vposyvSvyo,읽어보셨어요,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌposjʌs*ʌjo,lk-ʌ,lkʌ
ilk-vposyvSxlgayo,읽어보셨을까요,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌposjʌs*ɨlk*ajo,lk-ʌ,lkʌ
ilk-vpol,읽어볼,,,lk-v,lkv,0,0,,,0,lC+Vowel,2,ilk-ʌpol,lk-ʌ,lkʌ
ilk-vpon,읽어본,,,lk-v,lkv,0,0,,,0,lC+Vowel,5,ilk-ʌpon,lk-ʌ,lkʌ
ilk-vpwaculke,읽어봐줄게,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌpwaculke,lk-ʌ,lkʌ
ilk-vpwato,읽어봐도,,,lk-v,lkv,0,0,,,0,lC+Vowel,2,ilk-ʌpwato,lk-ʌ,lkʌ
ilk-vpwaSkoyo,읽어봤고요,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌpwas*kojo,lk-ʌ,lkʌ
ilk-vpwaSkvtxnyo,읽어봤거든요,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌpwas*kʌtɨnjo,lk-ʌ,lkʌ
ilk-vpwaSnxnte,읽어봤는데,,,lk-v,lkv,0,0,,,0,lC+Vowel,2,ilk-ʌpwas*nɨnte,lk-ʌ,lkʌ
ilk-vpwaSnxnteyo,읽어봤는데요,,,lk-v,lkv,0,0,,,0,lC+Vowel,3,ilk-ʌpwas*nɨntejo,lk-ʌ,lkʌ
ilk-vpwaStan,읽어봤단,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌpwas*tan,lk-ʌ,lkʌ
ilk-vpwaStvn,읽어봤던,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌpwas*tʌn,lk-ʌ,lkʌ
ilk-vpwaSv,읽어봤어,,,lk-v,lkv,0,0,,,0,lC+Vowel,2,ilk-ʌpwas*ʌ,lk-ʌ,lkʌ
ilk-vpwaSvyo,읽어봤어요,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌpwas*ʌjo,lk-ʌ,lkʌ
ilk-vpwaSxl,읽어봤을,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌpwas*ɨl,lk-ʌ,lkʌ
ilk-vsv,읽어서,,,lk-v,lkv,0,0,,,0,lC+Vowel,4,ilk-ʌsʌ,lk-ʌ,lkʌ
ilk-vto,읽어도,,,lk-v,lkv,0,0,,,0,lC+Vowel,4,ilk-ʌto,lk-ʌ,lkʌ
ilk-vtxlipni,읽어드립니,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌtɨlipni,lk-ʌ,lkʌ
ilk-vya,읽어야,,,lk-v,lkv,0,0,,,0,lC+Vowel,8,ilk-ʌja,lk-ʌ,lkʌ
ilk-vyaci,읽어야지,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌjaci,lk-ʌ,lkʌ
ilk-vyacilako,읽어야지라고,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌjacilako,lk-ʌ,lkʌ
