Morphology_R,Morphology_H,Production_H,Production_R,UR,SR,simplify_delete_obstruent,simplify_delete_lateral,nasalize,lateralize,tensify,Type,n
cvlm-vsv,젊어서,,cvl.mvsv,lm-v,lmv,0,0,,,0,lC+Vowel,20
cvlm-vsvnxn,젊어서는,,cvl.mvsvnxn,lm-v,lmv,0,0,,,0,lC+Vowel,5
cvlm-vsvpuTv,젊어서부터,,cvl.mvsvpuTv,lm-v,lmv,0,0,,,0,lC+Vowel,1
cvlm-vsvto,젊어서도,,cvl.mvsvto,lm-v,lmv,0,0,,,0,lC+Vowel,2
cvlm-vyo,젊어요,,cvl.mvyo,lm-v,lmv,0,0,,,0,lC+Vowel,1
cvlm-vS,젊었,,cvl.mvS,lm-v,lmv,0,0,,,0,lC+Vowel,1
cvlm-vScanhayo,젊었잖아요,,cvl.mvScanhayo,lm-v,lmv,0,0,,,0,lC+Vowel,1
cvlm-vSkeScyo,젊었겠죠,,cvl.mvSkeScyo,lm-v,lmv,0,0,,,0,lC+Vowel,1
cvlm-vSvStvn,젊었었던,,cvl.mvSvStvn,lm-v,lmv,0,0,,,0,lC+Vowel,1
cvlm-vSxmyvn,젊었으면,,cvl.mvSxmyvn,lm-v,lmv,0,0,,,0,lC+Vowel,1
cvlm-vSxmyvnxn,젊었으면은,,cvl.mvSxmyvnxn,lm-v,lmv,0,0,,,0,lC+Vowel,2
cvlm-vSxniga,젊었으니까,,cvl.mvSxniga,lm-v,lmv,0,0,,,0,lC+Vowel,2
cvlm-vSxl,젊었을,,cvl.mvSxl,lm-v,lmv,0,0,,,0,lC+Vowel,184
cvlm-x,젊으,,cvl.mx,lm-x,lmx,0,0,,,0,lC+Vowel,1
cvlm-xna,젊으나,,cvl.mxna,lm-x,lmx,0,0,,,0,lC+Vowel,3
cvlm-xniga,젊으니까,,cvl.mxniga,lm-x,lmx,0,0,,,0,lC+Vowel,12
cvlm-xnigan,젊으니깐,,cvl.mxnigan,lm-x,lmx,0,0,,,0,lC+Vowel,2
cvlm-xsicanhayo,젊으시잖아요,,cvl.mxsicanhayo,lm-x,lmx,0,0,,,0,lC+Vowel,3
cvlm-xsikinxn,젊으시기는,,cvl.mxsikinxn,lm-x,lmx,0,0,,,0,lC+Vowel,1
cvlm-xsiniga,젊으시니까,,cvl.mxsiniga,lm-x,lmx,0,0,,,0,lC+Vowel,1
cvlm-xsita,젊으시다,,cvl.mxsita,lm-x,lmx,0,0,,,0,lC+Vowel,1
cvlm-xsil,젊으실,,cvl.mxsil,lm-x,lmx,0,0,,,0,lC+Vowel,3
cvlm-xsin,젊으신,,cvl.mxsin,lm-x,lmx,0,0,,,0,lC+Vowel,12
cvlm-xsinte,젊으신데,,cvl.mxsinte,lm-x,lmx,0,0,,,0,lC+Vowel,2
cvlm-xsyvkaciko,젊으셔가지고,,cvl.mxsyvkaciko,lm-x,lmx,0,0,,,0,lC+Vowel,2
cvlm-xsyvkacko,젊으셔갖고,,cvl.mxsyvkacko,lm-x,lmx,0,0,,,0,lC+Vowel,1
cvlm-xsyvsv,젊으셔서,,cvl.mxsyvsv,lm-x,lmx,0,0,,,0,lC+Vowel,1
cvlm-xsyvSkvtxnyo,젊으셨거든요,,cvl.mxsyvSkvtxnyo,lm-x,lmx,0,0,,,0,lC+Vowel,1
cvlm-xsyvSxl,젊으셨을,,cvl.mxsyvSxl,lm-x,lmx,0,0,,,0,lC+Vowel,1
cvlm-xl,젊을,,cvl.mxl,lm-x,lmx,0,0,,,0,lC+Vowel,43
cvlm-xm,젊음,,cvl.mxm,lm-x,lmx,0,0,,,0,lC+Vowel,1
cvlm-xmxl,젊음을,,cvl.mxmxl,lm-x,lmx,0,0,,,0,lC+Vowel,4
cvlm-xn,젊은,,cvl.mxn,lm-x,lmx,0,0,,,0,lC+Vowel,520
cvlm-xnCxNina,젊은층이나,,cvl.mxnCxNina,lm-x,lmx,0,0,,,0,lC+Vowel,1
cvlm-xnCxNxlo,젊은층으로,,cvl.mxnCxNxlo,lm-x,lmx,0,0,,,0,lC+Vowel,1
cvlm-xnCxNxy,젊은층의,,cvl.mxnCxNxy,lm-x,lmx,0,0,,,0,lC+Vowel,1
cvlm-xni,젊은이,,cvl.mxni,lm-x,lmx,0,0,,,0,lC+Vowel,3
cvlm-xnika,젊은이가,,cvl.mxnika,lm-x,lmx,0,0,,,0,lC+Vowel,1
cvlm-xnilamyvn,젊은이라면,,cvl.mxnilamyvn,lm-x,lmx,0,0,,,0,lC+Vowel,1
cvlm-xnilanxn,젊은이라는,,cvl.mxnilanxn,lm-x,lmx,0,0,,,0,lC+Vowel,1
cvlm-xniman,젊은이만,,cvl.mxniman,lm-x,lmx,0,0,,,0,lC+Vowel,1
cvlm-xniniga,젊은이니까,,cvl.mxniniga,lm-x,lmx,0,0,,,0,lC+Vowel,2
cvlm-xnita,젊은이다,,cvl.mxnita,lm-x,lmx,0,0,,,0,lC+Vowel,1
cvlm-xnitxl,젊은이들,,cvl.mxnitxl,lm-x,lmx,0,0,,,0,lC+Vowel,5
cvlm-xnitxle,젊은이들에,,cvl.mxnitxle,lm-x,lmx,0,0,,,0,lC+Vowel,1
cvlm-xnitxleke,젊은이들에게,,cvl.mxnitxleke,lm-x,lmx,0,0,,,0,lC+Vowel,2
cvlm-xnitxleketo,젊은이들에게도,,cvl.mxnitxleketo,lm-x,lmx,0,0,,,0,lC+Vowel,1
cvlm-xnitxlhanTe,젊은이들한테,,cvl.mxnitxlhanTe,lm-x,lmx,0,0,,,0,lC+Vowel,5
cvlm-xnitxlhanTeto,젊은이들한테도,,cvl.mxnitxlhanTeto,lm-x,lmx,0,0,,,0,lC+Vowel,1
cvlm-xnitxli,젊은이들이,,cvl.mxnitxli,lm-x,lmx,0,0,,,0,lC+Vowel,24
cvlm-xnitxlina,젊은이들이나,,cvl.mxnitxlina,lm-x,lmx,0,0,,,0,lC+Vowel,1
cvlm-xnitxlivSxmyvn,젊은이들이었으면,,cvl.mxnitxlivSxmyvn,lm-x,lmx,0,0,,,0,lC+Vowel,1
cvlm-xnitxltapci,젊은이들답지,,cvl.mxnitxltapci,lm-x,lmx,0,0,,,0,lC+Vowel,1
cvlm-xnitxlto,젊은이들도,,cvl.mxnitxlto,lm-x,lmx,0,0,,,0,lC+Vowel,1
cvlm-xnitxlxl,젊은이들을,,cvl.mxnitxlxl,lm-x,lmx,0,0,,,0,lC+Vowel,2
cvlm-xnitxlxn,젊은이들은,,cvl.mxnitxlxn,lm-x,lmx,0,0,,,0,lC+Vowel,10
cvlm-xnitxlxy,젊은이들의,,cvl.mxnitxlxy,lm-x,lmx,0,0,,,0,lC+Vowel,5
cvlm-xnixy,젊은이의,,cvl.mxnixy,lm-x,lmx,0,0,,,0,lC+Vowel,2
cvlm-xnte,젊은데,,cvl.mxnte,lm-x,lmx,0,0,,,0,lC+Vowel,6
halT-acuko,핥아주고,,hal.Tacuko,lT-a,lTa,0,0,,,0,lC+Vowel,3
halT-acukvna,핥아주거나,,hal.Tacukvna,lT-a,lTa,0,0,,,0,lC+Vowel,1
halT-acutvlako,핥아주더라고,,hal.Tacutvlako,lT-a,lTa,0,0,,,0,lC+Vowel,1
halT-acuntatxnka,핥아준다든가,,hal.Tacuntatxnka,lT-a,lTa,0,0,,,0,lC+Vowel,1
halT-akamyvnsv,핥아가면서,,hal.Takamyvnsv,lT-a,lTa,0,0,,,0,lC+Vowel,1
halT-asv,핥아서,,hal.Tasv,lT-a,lTa,0,0,,,0,lC+Vowel,3
halT-ayo,핥아요,,hal.Tayo,lT-a,lTa,0,0,,,0,lC+Vowel,3
halT-aSxl,핥았을,,hal.TaSxl,lT-a,lTa,0,0,,,0,lC+Vowel,1
halT-xmyvn,핥으면,,hal.Txmyvn,lT-x,lTx,0,0,,,0,lC+Vowel,1
hemalk-xm,해맑음,,hemal.kxm,lk-x,lkx,0,0,,,0,lC+Vowel,1
hulT-v,훑어,,hul.Tv,lT-v,lTv,0,0,,,0,lC+Vowel,1
hulT-vpoko,훑어보고,,hul.Tvpoko,lT-v,lTv,0,0,,,0,lC+Vowel,5
hulT-vpomyvn,훑어보면,,hul.Tvpomyvn,lT-v,lTv,0,0,,,0,lC+Vowel,1
hulT-vpomyvnsv,훑어보면서,,hul.Tvpomyvnsv,lT-v,lTv,0,0,,,0,lC+Vowel,1
hulT-vposin,훑어보신,,hul.Tvposin,lT-v,lTv,0,0,,,0,lC+Vowel,1
hulT-vpotaka,훑어보다가,,hul.Tvpotaka,lT-v,lTv,0,0,,,0,lC+Vowel,1
hulT-vpotvni,훑어보더니,,hul.Tvpotvni,lT-v,lTv,0,0,,,0,lC+Vowel,1
hulT-vpwaya,훑어봐야,,hul.Tvpwaya,lT-v,lTv,0,0,,,0,lC+Vowel,1
ilk-v,읽어,,il.kv,lk-v,lkv,0,0,,,0,lC+Vowel,15
ilk-vcin,읽어진,,il.kvcin,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vcuca,읽어주자,,il.kvcuca,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vcuke,읽어주게,,il.kvcuke,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vcukin,읽어주긴,,il.kvcukin,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vcuko,읽어주고,,il.kvcuko,lk-v,lkv,0,0,,,0,lC+Vowel,2
ilk-vcukvna,읽어주거나,,il.kvcukvna,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vcumyvn,읽어주면,,il.kvcumyvn,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vcumyvnsv,읽어주면서,,il.kvcumyvnsv,lk-v,lkv,0,0,,,0,lC+Vowel,4
ilk-vcunxn,읽어주는,,il.kvcunxn,lk-v,lkv,0,0,,,0,lC+Vowel,7
ilk-vcunxnte,읽어주는데,,il.kvcunxnte,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vcusikito,읽어주시기도,,il.kvcusikito,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vcusikvtxn,읽어주시거든,,il.kvcusikvtxn,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vcun,읽어준,,il.kvcun,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vcwvSkvtxn,읽어줬거든,,il.kvcwvSkvtxn,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vcyvsv,읽어져서,,il.kvcyvsv,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vkanxn,읽어가는,,il.kvkanxn,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vla,읽어라,,il.kvla,lk-v,lkv,0,0,,,0,lC+Vowel,3
ilk-vneko,읽어내고,,il.kvneko,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vnenxn,읽어내는,,il.kvnenxn,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vpoci,읽어보지,,il.kvpoci,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vpocinxn,읽어보지는,,il.kvpocinxn,lk-v,lkv,0,0,,,0,lC+Vowel,2
ilk-vpocin,읽어보진,,il.kvpocin,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vpokie,읽어보기에,,il.kvpokie,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vpokinxn,읽어보기는,,il.kvpokinxn,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vpokin,읽어보긴,,il.kvpokin,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vpoko,읽어보고,,il.kvpoko,lk-v,lkv,0,0,,,0,lC+Vowel,2
ilk-vpokonxn,읽어보고는,,il.kvpokonxn,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vpolako,읽어보라고,,il.kvpolako,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vpolv,읽어보러,,il.kvpolv,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vpomyvn,읽어보면,,il.kvpomyvn,lk-v,lkv,0,0,,,0,lC+Vowel,5
ilk-vpomyvnsv,읽어보면서,,il.kvpomyvnsv,lk-v,lkv,0,0,,,0,lC+Vowel,2
ilk-vpomyvnxn,읽어보면은,,il.kvpomyvnxn,lk-v,lkv,0,0,,,0,lC+Vowel,4
ilk-vponiga,읽어보니까,,il.kvponiga,lk-v,lkv,0,0,,,0,lC+Vowel,8
ilk-vponxn,읽어보는,,il.kvponxn,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vposinxn,읽어보시는,,il.kvposinxn,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vposintako,읽어보신다고,,il.kvposintako,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vposyvScyo,읽어보셨죠,,il.kvposyvScyo,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vposyvSvyo,읽어보셨어요,,il.kvposyvSvyo,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vposyvSxlgayo,읽어보셨을까요,,il.kvposyvSxlgayo,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vpol,읽어볼,,il.kvpol,lk-v,lkv,0,0,,,0,lC+Vowel,2
ilk-vpon,읽어본,,il.kvpon,lk-v,lkv,0,0,,,0,lC+Vowel,5
ilk-vpwaculke,읽어봐줄게,,il.kvpwaculke,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vpwato,읽어봐도,,il.kvpwato,lk-v,lkv,0,0,,,0,lC+Vowel,2
ilk-vpwaSkoyo,읽어봤고요,,il.kvpwaSkoyo,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vpwaSkvtxnyo,읽어봤거든요,,il.kvpwaSkvtxnyo,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vpwaSnxnte,읽어봤는데,,il.kvpwaSnxnte,lk-v,lkv,0,0,,,0,lC+Vowel,2
ilk-vpwaSnxnteyo,읽어봤는데요,,il.kvpwaSnxnteyo,lk-v,lkv,0,0,,,0,lC+Vowel,3
ilk-vpwaStan,읽어봤단,,il.kvpwaStan,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vpwaStvn,읽어봤던,,il.kvpwaStvn,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vpwaSv,읽어봤어,,il.kvpwaSv,lk-v,lkv,0,0,,,0,lC+Vowel,2
ilk-vpwaSvyo,읽어봤어요,,il.kvpwaSvyo,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vpwaSxl,읽어봤을,,il.kvpwaSxl,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vsv,읽어서,,il.kvsv,lk-v,lkv,0,0,,,0,lC+Vowel,4
ilk-vto,읽어도,,il.kvto,lk-v,lkv,0,0,,,0,lC+Vowel,4
ilk-vtxlipni,읽어드립니,,il.kvtxlipni,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vya,읽어야,,il.kvya,lk-v,lkv,0,0,,,0,lC+Vowel,8
ilk-vyaci,읽어야지,,il.kvyaci,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vyacilako,읽어야지라고,,il.kvyacilako,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vyakeSta,읽어야겠다,,il.kvyakeSta,lk-v,lkv,0,0,,,0,lC+Vowel,2
ilk-vyo,읽어요,,il.kvyo,lk-v,lkv,0,0,,,0,lC+Vowel,2
ilk-vScanha,읽었잖아,,il.kvScanha,lk-v,lkv,0,0,,,0,lC+Vowel,2
ilk-vSki,읽었기,,il.kvSki,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vSko,읽었고,,il.kvSko,lk-v,lkv,0,0,,,0,lC+Vowel,3
ilk-vSkvtxn,읽었거든,,il.kvSkvtxn,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vSkvtxnyo,읽었거든요,,il.kvSkvtxnyo,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vSnxnte,읽었는데,,il.kvSnxnte,lk-v,lkv,0,0,,,0,lC+Vowel,14
ilk-vSnxnteyo,읽었는데요,,il.kvSnxnteyo,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vSta,읽었다,,il.kvSta,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vStako,읽었다고,,il.kvStako,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vStvn,읽었던,,il.kvStvn,lk-v,lkv,0,0,,,0,lC+Vowel,14
ilk-vSv,읽었어,,il.kvSv,lk-v,lkv,0,0,,,0,lC+Vowel,2
ilk-vSvyo,읽었어요,,il.kvSvyo,lk-v,lkv,0,0,,,0,lC+Vowel,4
ilk-vSvSkvtxn,읽었었거든,,il.kvSvSkvtxn,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vSvSkvtxnyo,읽었었거든요,,il.kvSvSkvtxnyo,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vSvSnxn,읽었었는,,il.kvSvSnxn,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vSvSnxnte,읽었었는데,,il.kvSvSnxnte,lk-v,lkv,0,0,,,0,lC+Vowel,2
ilk-vSvSnxnteyo,읽었었는데요,,il.kvSvSnxnteyo,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vSvSsxpnita,읽었었습니다,,il.kvSvSsxpnita,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vSx,읽었으,,il.kvSx,lk-v,lkv,0,0,,,0,lC+Vowel,1
ilk-vSxl,읽었을,,il.kvSxl,lk-v,lkv,0,0,,,0,lC+Vowel,4
ilk-xla,읽으라,,il.kxla,lk-x,lkx,0,0,,,0,lC+Vowel,1
ilk-xlyvko,읽으려고,,il.kxlyvko,lk-x,lkx,0,0,,,0,lC+Vowel,2
ilk-xmyvn,읽으면,,il.kxmyvn,lk-x,lkx,0,0,,,0,lC+Vowel,5
ilk-xmyvnsv,읽으면서,,il.kxmyvnsv,lk-x,lkx,0,0,,,0,lC+Vowel,19
ilk-xmyvnsvto,읽으면서도,,il.kxmyvnsvto,lk-x,lkx,0,0,,,0,lC+Vowel,1
ilk-xmyvnxn,읽으면은,,il.kxmyvnxn,lk-x,lkx,0,0,,,0,lC+Vowel,1
ilk-xniga,읽으니까,,il.kxniga,lk-x,lkx,0,0,,,0,lC+Vowel,5
ilk-xseyo,읽으세요,,il.kxseyo,lk-x,lkx,0,0,,,0,lC+Vowel,1
ilk-xsinxn,읽으시는,,il.kxsinxn,lk-x,lkx,0,0,,,0,lC+Vowel,6
ilk-xsinxnci,읽으시는지,,il.kxsinxnci,lk-x,lkx,0,0,,,0,lC+Vowel,1
ilk-xsyvsv,읽으셔서,,il.kxsyvsv,lk-x,lkx,0,0,,,0,lC+Vowel,1
ilk-xsyvSkeSvyo,읽으셨겠어요,,il.kxsyvSkeSvyo,lk-x,lkx,0,0,,,0,lC+Vowel,1
ilk-xl,읽을,,il.kxl,lk-x,lkx,0,0,,,0,lC+Vowel,18
ilk-xn,읽은,,il.kxn,lk-x,lkx,0,0,,,0,lC+Vowel,17
kalk-a,갉아,,kal.ka,lk-a,lka,0,0,,,0,lC+Vowel,5
kalk-amvkko,갉아먹고,,kal.kamvkko,lk-a,lka,0,0,,,0,lC+Vowel,2
kalk-amvknxn,갉아먹는,,kal.kamvknxn,lk-a,lka,0,0,,,0,lC+Vowel,3
kalk-amvkxn,갉아먹은,,kal.kamvkxn,lk-a,lka,0,0,,,0,lC+Vowel,1
kolm-a,곪아,,kol.ma,lm-a,lma,0,0,,,0,lC+Vowel,1
kolm-xl,곪을,,kol.mxl,lm-x,lmx,0,0,,,0,lC+Vowel,2
kulk-vciko,굵어지고,,kul.kvciko,lk-v,lkv,0,0,,,0,lC+Vowel,2
kulk-vSko,굵었고,,kul.kvSko,lk-v,lkv,0,0,,,0,lC+Vowel,1
kulk-vSvyo,굵었어요,,kul.kvSvyo,lk-v,lkv,0,0,,,0,lC+Vowel,1
kulk-xn,굵은,,kul.kxn,lk-x,lkx,0,0,,,0,lC+Vowel,6
kulm-v,굶어,,kul.mv,lm-v,lmv,0,0,,,0,lC+Vowel,13
kulm-vkamyvnsv,굶어가면서,,kul.mvkamyvnsv,lm-v,lmv,0,0,,,0,lC+Vowel,1
kulm-vsv,굶어서,,kul.mvsv,lm-v,lmv,0,0,,,0,lC+Vowel,6
kulm-vto,굶어도,,kul.mvto,lm-v,lmv,0,0,,,0,lC+Vowel,1
kulm-vya,굶어야,,kul.mvya,lm-v,lmv,0,0,,,0,lC+Vowel,3
kulm-vSci,굶었지,,kul.mvSci,lm-v,lmv,0,0,,,0,lC+Vowel,1
kulm-vSvyo,굶었어요,,kul.mvSvyo,lm-v,lmv,0,0,,,0,lC+Vowel,1
kulm-vSxmyvn,굶었으면,,kul.mvSxmyvn,lm-v,lmv,0,0,,,0,lC+Vowel,1
kulm-xmyvn,굶으면,,kul.mxmyvn,lm-x,lmx,0,0,,,0,lC+Vowel,3
kulm-xmyvnsv,굶으면서,,kul.mxmyvnsv,lm-x,lmx,0,0,,,0,lC+Vowel,5
kulm-xmyvnxn,굶으면은,,kul.mxmyvnxn,lm-x,lmx,0,0,,,0,lC+Vowel,1
kulm-xl,굶을,,kul.mxl,lm-x,lmx,0,0,,,0,lC+Vowel,1
kxlk-v,긁어,,kxl.kv,lk-v,lkv,0,0,,,0,lC+Vowel,2
kxlk-vcwvScyo,긁어줬죠,,kxl.kvcwvScyo,lk-v,lkv,0,0,,,0,lC+Vowel,1
kxlk-vcwvSnxnte,긁어줬는데,,kxl.kvcwvSnxnte,lk-v,lkv,0,0,,,0,lC+Vowel,1
kxlk-vmvkko,긁어먹고,,kxl.kvmvkko,lk-v,lkv,0,0,,,0,lC+Vowel,1
kxlk-vmvktvniman,긁어먹더니만,,kxl.kvmvktvniman,lk-v,lkv,0,0,,,0,lC+Vowel,1
kxlk-vsv,긁어서,,kxl.kvsv,lk-v,lkv,0,0,,,0,lC+Vowel,2
kxlk-vto,긁어도,,kxl.kvto,lk-v,lkv,0,0,,,0,lC+Vowel,1
