Morphology_R,,,Production_R,JunctureType,UR,SR,,,Nasalization,Lateralization,C_deletion,L_deletion,Tensification,Notes
kac-ko,,,ago,C+Obstruent,c-k,g,,,NA,NA,1,0,yes,
kac-ko,,,gakgo,C+Obstruent,c-k,kg,,,NA,NA,0,0,yes,
Cac-keSv,,,CatgeSv,C+Obstruent,c-k,tg,,,NA,NA,0,0,yes,
Cac-ko,,,Catgo,C+Obstruent,c-k,tg,,,NA,NA,0,0,yes,
kac-ko,,,katgo,C+Obstruent,c-k,tg,,,NA,NA,0,0,yes,
kac-ko,,,kakgo,C+Obstruent,c-k,kg,,,NA,NA,0,0,yes,
Jic-ki,,,Jikgi,C+Obstruent,c-k,kg,,,NA,NA,0,0,yes,
nxc-ke,,,nxkge,C+Obstruent,c-k,kg,,,NA,NA,0,0,yes,
mac-keSci,,,makgetJi,C+Obstruent,c-k,kg,,,NA,NA,0,0,yes,
kac-ko,,,kakgu,C+Obstruent,c-k,kg,,,NA,NA,0,0,yes,
kac-ko,,,kagu,C+Obstruent,c-k,g,,,NA,NA,1,0,yes,
kac-ko,,,kago,C+Obstruent,c-k,g,,,NA,NA,1,0,yes,
kac-ta,,,atda,C+Obstruent,c-t,td,,,NA,NA,0,0,yes,
mac-ta,,,matTa,C+Obstruent,c-t,tT,,,NA,NA,0,0,no,
Cac-taka,,,Catdaka,C+Obstruent,c-t,td,,,NA,NA,0,0,yes,
kac-ta,,,katda,C+Obstruent,c-t,td,,,NA,NA,0,0,yes,
nac-ta,,,natda,C+Obstruent,c-t,td,,,NA,NA,0,0,yes,
mac-ta,,,matda,C+Obstruent,c-t,td,,,NA,NA,0,0,yes,
mac-te,,,matde,C+Obstruent,c-t,td,,,NA,NA,0,0,yes,
tag-ca,,,dakJa,C+Obstruent,g-c,kJ,,,NA,NA,0,0,yes,
tag-ci,,,dakJi,C+Obstruent,g-c,kJ,,,NA,NA,0,0,yes,
tag-ko,,,dakgo,C+Obstruent,g-k,kg,,,NA,NA,0,0,yes,
tag-ko,,,takgo,C+Obstruent,g-k,kg,,,NA,NA,0,0,yes,
Jik-ca,,,JikJa,C+Obstruent,k-c,kJ,,,NA,NA,0,0,yes,
mvk-ca,,,mvkJa,C+Obstruent,k-c,kJ,,,NA,NA,0,0,yes,
mvk-ci,,,mvkJi,C+Obstruent,k-c,kJ,,,NA,NA,0,0,yes,
mvk-ci,,,mvkJi,C+Obstruent,k-c,kJ,,,NA,NA,0,0,yes,
mvk-ci,,,mvkJi,C+Obstruent,k-c,kJ,,,NA,NA,0,0,yes,
mvk-ci,,,mvkJi,C+Obstruent,k-c,kJ,,,NA,NA,0,0,yes,
dok-kaTcanha,,,dokgatda,C+Obstruent,k-g,kg,,,NA,NA,0,0,yes,
cuk-keSv,,,cukkeSv,C+Obstruent,k-k,kk,,,NA,NA,0,0,no,
mvk-ku,,,mvkgo,C+Obstruent,k-k,kg,,,NA,NA,0,0,yes,
cuk-keSnxnte,,,cukgennxnte,C+Obstruent,k-k,kg,,,NA,NA,0,0,yes,
cuk-keSv,,,cukgeSv,C+Obstruent,k-k,kg,,,NA,NA,0,0,yes,
dok-kaTte,,,dokgatde,C+Obstruent,k-k,kg,,,NA,NA,0,0,yes,
dok-kaTcanha,,,dokgatJana,C+Obstruent,k-k,kg,,,NA,NA,0,0,yes,
mvk-keSta,,,mvkgetda,C+Obstruent,k-k,kg,,,NA,NA,0,0,yes,
mvk-keSsxpnita,,,mvkgetSxmnita,C+Obstruent,k-k,kg,,,NA,NA,0,0,yes,
mvk-ko,,,mvkgo,C+Obstruent,k-k,kg,,,NA,NA,0,0,yes,
mvk-ko,,,mvkgo,C+Obstruent,k-k,kg,,,NA,NA,0,0,yes,
mvk-ku,,,mvkgu,C+Obstruent,k-k,kg,,,NA,NA,0,0,yes,
mvk-ki,,,mvkgi,C+Obstruent,k-k,kg,,,NA,NA,0,0,yes,
mvk-ki,,,mvkgi,C+Obstruent,k-k,kg,,,NA,NA,0,0,yes,
Jik-ko,,,Jikgu,C+Obstruent,k-k,kg,,,NA,NA,0,0,yes,
mvk-ko,,,mvkgu,C+Obstruent,k-k,kg,,,NA,NA,0,0,yes,
cak-ko,,,cakgu,C+Obstruent,k-k,kg,,,NA,NA,0,0,yes,
mvk-ko,,,mvgu,C+Obstruent,k-k,g,,,NA,NA,1,0,yes,
mvk-ko,,,mvgu,C+Obstruent,k-k,g,,,NA,NA,1,0,yes,
mvk-ko,,,mvgo,C+Obstruent,k-k,g,,,NA,NA,1,0,yes,
mvk-tvlako,,,mvktxlako,C+Obstruent,k-t,kt,,,NA,NA,0,0,no,
cak-ta,,,Jakda,C+Obstruent,k-t,kd,,,NA,NA,0,0,yes,
mvk-taka,,,mvkdaka,C+Obstruent,k-t,kd,,,NA,NA,0,0,yes,
mvk-tolok,,,mvkdolok,C+Obstruent,k-t,kd,,,NA,NA,0,0,yes,
cak-ta,,,cakda,C+Obstruent,k-t,kd,,,NA,NA,0,0,yes,
cak-tvlako,,,cakdvlako,C+Obstruent,k-t,kd,,,NA,NA,0,0,yes,
cop-canha,,,JopJana,C+Obstruent,p-c,pJ,,,NA,NA,0,0,yes,
Cup-ci,,,Cupci,C+Obstruent,p-c,pc,,,NA,NA,0,0,no,
Cakap-ci,,,CakapJi,C+Obstruent,p-c,pJ,,,NA,NA,0,0,yes,
Cup-canha,,,CupJana,C+Obstruent,p-c,pJ,,,NA,NA,0,0,yes,
nup-ci,,,nupJi,C+Obstruent,p-c,pJ,,,NA,NA,0,0,yes,
kapyvp-ci,,,kapyvpJi,C+Obstruent,p-c,pJ,,,NA,NA,0,0,yes,
tvp-ci,,,tvpJi,C+Obstruent,p-c,pJ,,,NA,NA,0,0,yes,
musvp-ci,,,musvpJi,C+Obstruent,p-c,pJ,,,NA,NA,0,0,yes,
migxlvp-ci,,,migxlvpJi,C+Obstruent,p-c,pJ,,,NA,NA,0,0,yes,
swip-ci,,,swipJi,C+Obstruent,p-c,pJ,,,NA,NA,0,0,yes,
siP-ci,,,sipJi,C+Obstruent,P-c,pJ,,,NA,NA,0,0,yes,
siP-ci,,,sipJi,C+Obstruent,P-c,pJ,,,NA,NA,0,0,yes,
vlyvp-ci,,,vlyvpJi,C+Obstruent,p-c,pJ,,,NA,NA,0,0,yes,
ip-ca,,,ipJa,C+Obstruent,p-c,pJ,,,NA,NA,0,0,yes,
cap-ca,,,capJa,C+Obstruent,p-c,pJ,,,NA,NA,0,0,yes,
ciP-ko,,,cikgu,C+Obstruent,P-k,kg,,,NA,NA,0,0,yes,
bop-keSv,,,bokgeSv,C+Obstruent,p-k,kg,,,NA,NA,0,0,yes,
bop-ki,,,bokgi,C+Obstruent,p-k,kg,,,NA,NA,0,0,yes,
ip-ko,,,ikgo,C+Obstruent,p-k,kg,,,NA,NA,0,0,yes,
ip-ko,,,lipgo,C+Obstruent,p-k,pg,,,NA,NA,0,0,yes,
ip-ko,,,tipgo,C+Obstruent,p-k,pg,,,NA,NA,0,0,yes,
ip-ko,,,ikgu,C+Obstruent,p-k,pg,,,NA,NA,0,0,yes,
ip-ko,,,likgo,C+Obstruent,p-k,kg,,,NA,NA,0,0,yes,
ip-ko,,,nipgo,C+Obstruent,p-k,kg,,,NA,NA,0,0,yes,
cap-ko,,,cakgo,C+Obstruent,p-k,pg,,,NA,NA,0,0,yes,
kapyvp-ko,,,kapyvpgo,C+Obstruent,p-k,kg,,,NA,NA,0,0,yes,
collip-ki,,,collipgi,C+Obstruent,p-k,pg,,,NA,NA,0,0,yes,
Cup-keSta,,,Cupgetda,C+Obstruent,p-k,pg,,,NA,NA,0,0,yes,
kwiyvp-kuna,,,kwiyvpguna,C+Obstruent,p-k,pg,,,NA,NA,0,0,yes,
tvp-kuna,,,tvpguna,C+Obstruent,p-k,pg,,,NA,NA,0,0,yes,
migxlvp-kin,,,migxlvpgin,C+Obstruent,p-k,pg,,,NA,NA,0,0,yes,
putxlvp-ko,,,putxlvpgo,C+Obstruent,p-k,pg,,,NA,NA,0,0,yes,
bop-ki,,,bopgi,C+Obstruent,p-k,pg,,,NA,NA,0,0,yes,
siP-ko,,,sipgo,C+Obstruent,P-k,pg,,,NA,NA,0,0,yes,
siP-ku,,,sipgu,C+Obstruent,P-k,pg,,,NA,NA,0,0,yes,
siP-ku,,,sipgu,C+Obstruent,P-k,pg,,,NA,NA,0,0,yes,
vlyvp-ke,,,vlyvpge,C+Obstruent,p-k,pg,,,NA,NA,0,0,yes,
ip-ko,,,ipgo,C+Obstruent,p-k,pg,,,NA,NA,0,0,yes,
cap-ko,,,capgo,C+Obstruent,p-k,pg,,,NA,NA,0,0,yes,
cap-ko,,,capgo,C+Obstruent,p-k,pg,,,NA,NA,0,0,yes,
cap-ku,,,capgu,C+Obstruent,p-k,pg,,,NA,NA,0,0,yes,
cap-kika,,,capgika,C+Obstruent,p-k,pg,,,NA,NA,0,0,yes,
cip-ko,,,cipgu,C+Obstruent,p-k,pg,,,NA,NA,0,0,yes,
ip-ko,,,ipgu,C+Obstruent,p-k,pg,,,NA,NA,0,0,yes,
cap-ko,,,capgu,C+Obstruent,p-k,pg,,,NA,NA,0,0,yes,
pankap-sxpnita,,,pankaSxmnita,C+Obstruent,p-s,S,,,NA,NA,1,0,yes,
pankap-sxpnita,,,pankapSxmmita,C+Obstruent,p-s,pS,,,NA,NA,0,0,yes,
kap-sita,,,kapsita,C+Obstruent,p-s,ps,,,NA,NA,0,0,no,
kap-sita,,,kapSita,C+Obstruent,p-s,pS,,,NA,NA,0,0,yes,
pankap-sxpnita,,,pankapSxmnita,C+Obstruent,p-s,pS,,,NA,NA,0,0,yes,
siP-so,,,sipSo,C+Obstruent,P-s,pS,,,NA,NA,0,0,yes,
komap-sxpnita,,,komaSxmnita,C+Obstruent,p-s,S,,,NA,NA,1,0,yes,
komap-sxpnita,,,komaSxmmita,C+Obstruent,p-s,S,,,NA,NA,1,0,yes,
vps-kvtxnyo,,,vpgvtxnnyv,C+Obstruent,ps-k,pg,,,NA,NA,0,0,yes,
kwiyvp-ta,,,kiyvpda,C+Obstruent,p-t,pd,,,NA,NA,0,0,yes,
kwiyvp-ta,,,kiyvpda,C+Obstruent,p-t,pd,,,NA,NA,0,0,yes,
tvp-ta,,,tvpta,C+Obstruent,p-t,pt,,,NA,NA,0,0,no,
pankap-tako,,,paNkapdako,C+Obstruent,p-t,pd,,,NA,NA,0,0,yes,
swip-ta,,,swipta,C+Obstruent,p-t,pd,,,NA,NA,0,0,no,
siP-ta,,,sipta,C+Obstruent,P-t,pt,,,NA,NA,0,0,no,
collip-ta,,,collipda,C+Obstruent,p-t,pd,,,NA,NA,0,0,yes,
Cakap-ta,,,Cakapda,C+Obstruent,p-t,pd,,,NA,NA,0,0,yes,
Cup-tvla,,,Cupdvla,C+Obstruent,p-t,pd,,,NA,NA,0,0,yes,
kwiyvp-ta,,,kwiyvpda,C+Obstruent,p-t,pd,,,NA,NA,0,0,yes,
kwiyvp-ta,,,kwiyvpda,C+Obstruent,p-t,pd,,,NA,NA,0,0,yes,
noP-tako,,,nopdako,C+Obstruent,P-t,pd,,,NA,NA,0,0,yes,
tvlvp-ta,,,tvlvpda,C+Obstruent,p-t,pd,,,NA,NA,0,0,yes,
tvlvp-tan,,,tvlvpdan,C+Obstruent,p-t,pd,,,NA,NA,0,0,yes,
mukvp-ta,,,mukvpda,C+Obstruent,p-t,pd,,,NA,NA,0,0,yes,
mukvp-ta,,,mukvpda,C+Obstruent,p-t,pd,,,NA,NA,0,0,yes,
migxlvp-ta,,,migxlvpda,C+Obstruent,p-t,pd,,,NA,NA,0,0,yes,
putxlvp-ta,,,putxlvpda,C+Obstruent,p-t,pd,,,NA,NA,0,0,yes,
putxlvp-ci,,,putxlvpJi,C+Obstruent,p-t,pJ,,,NA,NA,0,0,yes,
siP-ta,,,sipda,C+Obstruent,P-t,pd,,,NA,NA,0,0,yes,
siP-ta,,,sipda,C+Obstruent,P-t,pd,,,NA,NA,0,0,yes,
siP-te,,,sipde,C+Obstruent,P-t,pd,,,NA,NA,0,0,yes,
siP-tvlako,,,sipdvlako,C+Obstruent,P-t,pd,,,NA,NA,0,0,yes,
aswip-tvlakoyo,,,aswipdvlakoyo,C+Obstruent,p-t,pd,,,NA,NA,0,0,yes,
vlyvp-ta,,,vlyvpda,C+Obstruent,p-t,pd,,,NA,NA,0,0,yes,
vcilvp-tvlako,,,vcilvpdvlako,C+Obstruent,p-t,pd,,,NA,NA,0,0,yes,
pvs-ca,,,pvtca,C+Obstruent,s-c,tc,,,NA,NA,0,0,no,
iS-canha,,,itJanv,C+Obstruent,S-c,tJ,,,NA,NA,0,0,yes,
iS-cyo,,,titJyv,C+Obstruent,S-c,tJ,,,NA,NA,0,0,yes,
iS-ci,,,sitJi,C+Obstruent,S-c,tJ,,,NA,NA,0,0,yes,
iS-ci,,,titJi,C+Obstruent,S-c,tJ,,,NA,NA,0,0,yes,
cemiS-ci,,,cemitJi,C+Obstruent,S-c,tJ,,,NA,NA,0,0,yes,
nas-ci,,,natJi,C+Obstruent,s-c,tJ,,,NA,NA,0,0,yes,
pvs-ca,,,pvtJa,C+Obstruent,s-c,tJ,,,NA,NA,0,0,yes,
pvs-canha,,,pvtJana,C+Obstruent,s-c,tJ,,,NA,NA,0,0,yes,
Sis-ca,,,SitJa,C+Obstruent,s-c,tJ,,,NA,NA,0,0,yes,
iS-ca,,,itJa,C+Obstruent,S-c,tJ,,,NA,NA,0,0,yes,
iS-canha,,,itJana,C+Obstruent,S-c,tJ,,,NA,NA,0,0,yes,
iS-canha,,,itJana,C+Obstruent,S-c,tJ,,,NA,NA,0,0,yes,
iS-cyo,,,itJyo,C+Obstruent,S-c,tJ,,,NA,NA,0,0,yes,
iS-ci,,,itJi,C+Obstruent,S-c,tJ,,,NA,NA,0,0,yes,
iS-ci,,,itJi,C+Obstruent,S-c,tJ,,,NA,NA,0,0,yes,
iS-ci,,,itJi,C+Obstruent,S-c,tJ,,,NA,NA,0,0,yes,
pvs-kilyvko,,,pvkgillyvko,C+Obstruent,s-k,kg,,,NA,NA,0,0,yes,
us-kinxn,,,ukginxN,C+Obstruent,s-k,kg,,,NA,NA,0,0,yes,
us-kin,,,ukgiN,C+Obstruent,s-k,kg,,,NA,NA,0,0,yes,
iS-ke,,,sikge,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iS-ke,,,masige,C+Obstruent,S-k,g,,,NA,NA,1,0,yes,
iS-ke,,,masikge,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iS-ke,,,tikge,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iS-ke,,,sige,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iS-keSkuna,,,ikgeguna,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iS-keSta,,,sikgetda,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iS-keSta,,,masikgetda,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iS-keSv,,,sikgetSv,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iS-ko,,,itgu,C+Obstruent,S-k,tg,,,NA,NA,0,0,yes,
iS-ku,,,ikguna,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iS-ku,,,ikgo,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iS-ku,,,sikgu,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iS-ki,,,nikgi,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
pvs-kyv,,,pvtgyv,C+Obstruent,s-k,tg,,,NA,NA,0,0,yes,
us-kinxn,,,utginxn,C+Obstruent,s-k,tg,,,NA,NA,0,0,yes,
iS-ke,,,itge,C+Obstruent,S-k,tg,,,NA,NA,0,0,yes,
iS-ko,,,itgo,C+Obstruent,S-k,tg,,,NA,NA,0,0,yes,
cemiS-keSta,,,cemitgetda,C+Obstruent,S-k,tg,,,NA,NA,0,0,yes,
cemiS-kuna,,,cemitguna,C+Obstruent,S-k,tg,,,NA,NA,0,0,yes,
iS-ko,,,ikgo,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iS-ko,,,ikgo,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iS-ku,,,ikgu,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iS-ku,,,ikgu,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iS-ki,,,ikgi,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iS-kin,,,ikgin,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iS-kille,,,ikgille,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
pvs-ko,,,pvkgu,C+Obstruent,s-k,kg,,,NA,NA,0,0,yes,
us-ko,,,ukgu,C+Obstruent,s-k,kg,,,NA,NA,0,0,yes,
iS-ko,,,ikgu,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
pvs-kyv,,,pvgyv,C+Obstruent,s-k,g,,,NA,NA,1,0,yes,
pvs-kyv,,,pvgyv,C+Obstruent,s-k,g,,,NA,NA,1,0,yes,
us-ko,,,ugu,C+Obstruent,s-k,g,,,NA,NA,1,0,yes,
us_kin,,,ugin,C+Obstruent,s-k,g,,,NA,NA,1,0,yes,
iS-ko,,,igu,C+Obstruent,S-k,g,,,NA,NA,1,0,yes,
iS-ku,,,igu,C+Obstruent,S-k,g,,,NA,NA,1,0,yes,
iS-ku,,,igu,C+Obstruent,S-k,g,,,NA,NA,1,0,yes,
iS-ko,,,igo,C+Obstruent,S-k,g,,,NA,NA,1,0,yes,
iS-sxpnita,,,kiSxmnita,C+Obstruent,S-s,S,,,NA,NA,1,0,yes,
iS-sxpnita,,,iSxmnita,C+Obstruent,S-s,S,,,NA,NA,1,0,yes,
iS-ta,,,sitda,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
iS-ta,,,Jitda,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
iS-ta,,,sitda,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
iS-ta,,,ida,C+Obstruent,S-t,d,,,NA,NA,1,0,yes,
iS-ta,,,mitda,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
iS-ta,,,kitda,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
iS-ta,,,iSda,C+Obstruent,S-t,Sd,,,NA,NA,0,0,yes,
iS-ta,,,itTa,C+Obstruent,S-t,tT,,,NA,NA,0,0,no,
iS-ta,,,itdv,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
iS-ta,,,nitda,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
iS-ta,,,itde,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
iS-ta,,,ikgu,C+Obstruent,S-t,kg,,,NA,NA,0,0,yes,
iS-ta,,,pitda,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
iS-ta,,,mitda,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
iS-tvla,,,itdxla,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
iS-tvla,,,itdxla,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
iS-tvnte,,,itdxnte,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
cemiS-ta,,,cemitda,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
cemiS-te,,,cemitde,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
cemiS-tenta,,,cemitdenta,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
iS-ta,,,itda,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
iS-ta,,,itda,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
iS-ta,,,itda,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
iS-teyo,,,itdeyo,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
iS-tvni,,,itdvni,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
iS-tvnte,,,itdvnte,C+Obstruent,S-t,td,,,NA,NA,0,0,yes,
kaT-ci,,,gatJi,C+Obstruent,T-c,tJ,,,NA,NA,0,0,yes,
dxt-cinxn,,,dxtCinxn,C+Obstruent,t-c,tC,,,NA,NA,0,0,yes,
kaT-ci,,,katJi,C+Obstruent,T-c,tJ,,,NA,NA,0,0,yes,
kvt-ci,,,kvtJi,C+Obstruent,t-c,tJ,,,NA,NA,0,0,yes,
kvt-ci,,,kvtJi,C+Obstruent,t-c,tJ,,,NA,NA,0,0,yes,
kvt-ci,,,kvtJi,C+Obstruent,t-c,tJ,,,NA,NA,0,0,yes,
dxt-cinxn,,,dxtJinxn,C+Obstruent,t-c,tJ,,,NA,NA,0,0,yes,
dxt-cito,,,dxtJito,C+Obstruent,t-c,tJ,,,NA,NA,0,0,yes,
pat-ciyo,,,patJiyo,C+Obstruent,t-c,tJ,,,NA,NA,0,0,yes,
sit-ko,,,silgo,C+Obstruent,t-k,lg,,,NA,1,0,0,yes,unprompted lateralization
sit-ko,,,silgu,C+Obstruent,t-k,lg,,,NA,1,0,0,yes,unprompted lateralization
kaT-kvtxn,,,kakgvtxn,C+Obstruent,T-k,kg,,,NA,NA,0,0,yes,
kaT-ko,,,kakgo,C+Obstruent,T-k,kg,,,NA,NA,0,0,yes,
kaT-ku,,,kakgu,C+Obstruent,T-k,kg,,,NA,NA,0,0,yes,
kaT-ku,,,kakgu,C+Obstruent,T-k,kg,,,NA,NA,0,0,yes,
kaT-kin,,,kakgin,C+Obstruent,T-k,kg,,,NA,NA,0,0,yes,
kvt-keSne,,,kvkgenne,C+Obstruent,t-k,kg,,,NA,NA,0,0,yes,
tat-ko,,,takgo,C+Obstruent,t-k,kg,,,NA,NA,0,0,yes,
tat-kine,,,takgine,C+Obstruent,t-k,kg,,,NA,NA,0,0,yes,
tat-kinta,,,takginta,C+Obstruent,t-k,kg,,,NA,NA,0,0,yes,
txt-ko,,,txkgo,C+Obstruent,t-k,kg,,,NA,NA,0,0,yes,
dxt-ko,,,dxkgo,C+Obstruent,t-k,kg,,,NA,NA,0,0,yes,
mut-ko,,,mukgo,C+Obstruent,t-k,kg,,,NA,NA,0,0,yes,
sit-ko,,,sikgu,C+Obstruent,t-k,kg,,,NA,NA,0,0,yes,
kaT-ko,,,kago,C+Obstruent,T-k,g,,,NA,NA,1,0,yes,
kaT-ta,,,dokgatda,C+Obstruent,T-t,td,,,NA,NA,0,0,yes,
kaT-ta,,,gatda,C+Obstruent,T-t,td,,,NA,NA,0,0,yes,
kaT-ta,,,katda,C+Obstruent,T-t,td,,,NA,NA,0,0,yes,
kaT-ta,,,katda,C+Obstruent,T-t,td,,,NA,NA,0,0,yes,
pat-ko,,,pakgo,C+Obstruent,t-k,kg,,,NA,NA,0,0,yes,
pvs-kyv,,,pvkgyv,C+Obstruent,s-k,kg,,,NA,NA,0,0,yes,
pvs-kyv,,,pvkgyv,C+Obstruent,s-k,kg,,,NA,NA,0,0,yes,
pvs-kyv,,,pvkgyv,C+Obstruent,s-k,kg,,,NA,NA,0,0,yes,
pvs-ko,,,pvkgo,C+Obstruent,s-k,kg,,,NA,NA,0,0,yes,
pvs-kimyvn,,,pvkgimyvn,C+Obstruent,s-k,kg,,,NA,NA,0,0,yes,
us-kyv,,,ukgyv,C+Obstruent,s-k,kg,,,NA,NA,0,0,yes,
us-kike,,,ukgike,C+Obstruent,s-k,kg,,,NA,NA,0,0,yes,
us-kikito,,,ukgikito,C+Obstruent,s-k,kg,,,NA,NA,0,0,yes,
us-kiman,,,ukgiman,C+Obstruent,s-k,kg,,,NA,NA,0,0,yes,
us-kin,,,ukgin,C+Obstruent,s-k,kg,,,NA,NA,0,0,yes,
us-kin,,,ukgin,C+Obstruent,s-k,kg,,,NA,NA,0,0,yes,
iS-kvna,,,ikgvna,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iS-kvtxn,,,ikgvtxn,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iS-ke,,,ikge,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iS-keSne,,,ikgenne,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iS-keSnxnte,,,ikgennxnte,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iS-keSta,,,ikgetda,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iS-keSv,,,ikgeSv,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
iS-keSci,,,ikgetJi,C+Obstruent,S-k,kg,,,NA,NA,0,0,yes,
kaT-kito,,,gakgitu,C+Obstruent,T-k,kg,,,NA,NA,0,0,yes,
mvk-ku,,,mvkgu,C+Obstruent,k-k,kg,,,NA,NA,0,0,yes,
kaT-kito,,,kakgitu,C+Obstruent,T-k,kg,,,NA,NA,0,0,yes,
ilk-ko,,,il.gu,lC+Obstruent,lk-k,lg,,,NA,NA,1,0,yes,
ilk-ko,,,il.go,lC+Obstruent,lk-k,lg,,,NA,NA,1,0,yes,
ilk-ko,,,ilk.gu,lC+Obstruent,lk-k,lkg,,,NA,NA,0,0,yes,
ilk-ki,,,ilk.gi,lC+Obstruent,lk-k,lkg,,,NA,NA,0,0,yes,
ilk-nxn,,,iN.nxn,lC+Sonorant,lk-n,Nn,,,1,NA,0,1,NA,
Jalp-ke,,,Jalk.ge,lC+Obstruent,lp-k,lkg,,,NA,NA,0,0,yes,
