Morphology_R,corrected_Production_R,JunctureType,UR,SR,POT,CS,Nasalization,Lateralization,C_deletion,L_deletion,Tensification,Notes
Jik-ca,JikJa,C+Obstruent,k-c,kJ,1,0,NA,NA,0,0,yes,
mvk-ca,mvkJa,C+Obstruent,k-c,kJ,1,0,NA,NA,0,0,yes,
mvk-ci,mvkJi,C+Obstruent,k-c,kJ,1,0,NA,NA,0,0,yes,
dok-kaTcanha,dokgaTcanha,C+Obstruent,k-k,kg,1,0,NA,NA,0,0,yes,
cuk-keSv,cukgeSv,C+Obstruent,k-k,kg,1,0,NA,NA,0,0,yes,
mvk-ku,mvkgu,C+Obstruent,k-k,kg,1,0,NA,NA,0,0,yes,
cuk-keSnxnte,cukgeSnxnte,C+Obstruent,k-k,kg,1,0,NA,NA,0,0,yes,
cuk-keSv,cukgeSv,C+Obstruent,k-k,kg,1,0,NA,NA,0,0,yes,
dok-kaTte,dokgaTte,C+Obstruent,k-k,kg,1,0,NA,NA,0,0,yes,
dok-kaTcanha,dokgaTcanha,C+Obstruent,k-k,kg,1,0,NA,NA,0,0,yes,
mvk-keSta,mvkgeSta,C+Obstruent,k-k,kg,1,0,NA,NA,0,0,yes,
mvk-keSsxpnita,mvkgeSsxpnita,C+Obstruent,k-k,kg,1,0,NA,NA,0,0,yes,
mvk-ko,mvkgo,C+Obstruent,k-k,kg,1,0,NA,NA,0,0,yes,
mvk-ku,mvkgu,C+Obstruent,k-k,kg,1,0,NA,NA,0,0,yes,
mvk-ki,mvkgi,C+Obstruent,k-k,kg,1,0,NA,NA,0,0,yes,
Jik-ko,Jikgo,C+Obstruent,k-k,kg,1,0,NA,NA,0,0,yes,
cak-ko,cakgo,C+Obstruent,k-k,kg,1,0,NA,NA,0,0,yes,
mvk-tvlako,mvkdvlako,C+Obstruent,k-t,kd,1,0,NA,NA,0,0,yes,
cak-ta,cakda,C+Obstruent,k-t,kd,1,0,NA,NA,0,0,yes,
mvk-taka,mvkdaka,C+Obstruent,k-t,kd,1,0,NA,NA,0,0,yes,
mvk-tolok,mvkdolok,C+Obstruent,k-t,kd,1,0,NA,NA,0,0,yes,
cak-ta,cakda,C+Obstruent,k-t,kd,1,0,NA,NA,0,0,yes,
cak-tvlako,cakdvlako,C+Obstruent,k-t,kd,1,0,NA,NA,0,0,yes,
cop-canha,copJanha,C+Obstruent,p-c,pJ,1,0,NA,NA,0,0,yes,
Cup-ci,CupJi,C+Obstruent,p-c,pJ,1,0,NA,NA,0,0,yes,
Cakap-ci,CakapJi,C+Obstruent,p-c,pJ,1,0,NA,NA,0,0,yes,
Cup-canha,CupJanha,C+Obstruent,p-c,pJ,1,0,NA,NA,0,0,yes,
nup-ci,nupJi,C+Obstruent,p-c,pJ,1,0,NA,NA,0,0,yes,
kapyvp-ci,kapyvpJi,C+Obstruent,p-c,pJ,1,0,NA,NA,0,0,yes,
tvp-ci,tvpJi,C+Obstruent,p-c,pJ,1,0,NA,NA,0,0,yes,
musvp-ci,musvpJi,C+Obstruent,p-c,pJ,1,0,NA,NA,0,0,yes,
migxlvp-ci,migxlvpJi,C+Obstruent,p-c,pJ,1,0,NA,NA,0,0,yes,
swip-ci,swipJi,C+Obstruent,p-c,pJ,1,0,NA,NA,0,0,yes,
siP-ci,siPJi,C+Obstruent,p-c,pJ,1,0,NA,NA,0,0,yes,
vlyvp-ci,vlyvpJi,C+Obstruent,p-c,pJ,1,0,NA,NA,0,0,yes,
ip-ca,ipJa,C+Obstruent,p-c,pJ,1,0,NA,NA,0,0,yes,
cap-ca,capJa,C+Obstruent,p-c,pJ,1,0,NA,NA,0,0,yes,
ciP-ko,ciPgo,C+Obstruent,P-k,Pg,1,0,NA,NA,0,0,yes,
bop-keSv,bopgeSv,C+Obstruent,p-k,pg,1,0,NA,NA,0,0,yes,
bop-ki,bopgi,C+Obstruent,p-k,pg,1,0,NA,NA,0,0,yes,
ip-ko,ipgo,C+Obstruent,p-k,pg,1,0,NA,NA,0,0,yes,
cap-ko,capgo,C+Obstruent,p-k,pg,1,0,NA,NA,0,0,yes,
kapyvp-ko,kapyvpgo,C+Obstruent,p-k,pg,1,0,NA,NA,0,0,yes,
collip-ki,collipgi,C+Obstruent,p-k,pg,1,0,NA,NA,0,0,yes,
Cup-keSta,CupgeSta,C+Obstruent,p-k,pg,1,0,NA,NA,0,0,yes,
kwiyvp-kuna,kwiyvpguna,C+Obstruent,p-k,pg,1,0,NA,NA,0,0,yes,
tvp-kuna,tvpguna,C+Obstruent,p-k,pg,1,0,NA,NA,0,0,yes,
migxlvp-kin,migxlvpgin,C+Obstruent,p-k,pg,1,0,NA,NA,0,0,yes,
putxlvp-ko,putxlvpgo,C+Obstruent,p-k,pg,1,0,NA,NA,0,0,yes,
bop-ki,bopgi,C+Obstruent,p-k,pg,1,0,NA,NA,0,0,yes,
siP-ko,siPgo,C+Obstruent,P-k,pg,1,0,NA,NA,0,0,yes,
siP-ku,siPgu,C+Obstruent,P-k,pg,1,0,NA,NA,0,0,yes,
vlyvp-ke,vlyvpge,C+Obstruent,p-k,pg,1,0,NA,NA,0,0,yes,
ip-ko,ipgo,C+Obstruent,p-k,pg,1,0,NA,NA,0,0,yes,
cap-ko,capgo,C+Obstruent,p-k,pg,1,0,NA,NA,0,0,yes,
cap-ku,capgo,C+Obstruent,p-k,pg,1,0,NA,NA,0,0,yes,
cap-kika,capgo,C+Obstruent,p-k,pg,1,0,NA,NA,0,0,yes,
cip-ko,cipgo,C+Obstruent,p-k,pg,1,0,NA,NA,0,0,yes,
pankap-sxpnita,pankap*sxpnita,C+Obstruent,p-s,p*s,1,0,NA,NA,0,0,yes,
pankap-sxpnita,pankap*sxpnita,C+Obstruent,p-s,p*s,1,0,NA,NA,0,0,yes,
kap-sita,kap*sita,C+Obstruent,p-s,p*s,1,0,NA,NA,0,0,yes,
kap-sita,kapsita,C+Obstruent,p-s,ps,0,0,NA,NA,0,0,no,
pankap-sxpnita,pankap*sxpnita,C+Obstruent,p-s,p*s,1,0,NA,NA,0,0,yes,
siP-so,siP*so,C+Obstruent,P-s,P*s,1,0,NA,NA,0,0,yes,
komap-sxpnita,komap*sxpnita,C+Obstruent,p-s,p*s,1,0,NA,NA,0,0,yes,
vps-kvtxnyo,vpsgvtxnyo,C+Obstruent,ps-k,psg,1,0,NA,NA,0,0,yes,
vps-kvtxnyo,vpkvtxnyo,C+Obstruent,ps-k,pk,0,1,NA,NA,1,0,no,
vps-kvtxnyo,vpgvtxnyo,C+Obstruent,ps-k,pg,1,1,NA,NA,1,0,yes,
kwiyvp-ta,kwiyvpda,C+Obstruent,p-t,pd,1,0,NA,NA,0,0,yes,
tvp-ta,tvpda,C+Obstruent,p-t,pd,1,0,NA,NA,0,0,yes,
pankap-tako,pankapdako,C+Obstruent,p-t,pd,1,0,NA,NA,0,0,yes,
swip-ta,swipda,C+Obstruent,p-t,pd,1,0,NA,NA,0,0,yes,
siP-ta,siPda,C+Obstruent,P-t,Pd,1,0,NA,NA,0,0,yes,
collip-ta,collipda,C+Obstruent,p-t,pd,1,0,NA,NA,0,0,yes,
Cakap-ta,Cakapda,C+Obstruent,p-t,pd,1,0,NA,NA,0,0,yes,
Cup-tvla,Cupdvla,C+Obstruent,p-t,pd,1,0,NA,NA,0,0,yes,
kwiyvp-ta,kwiyvpda,C+Obstruent,p-t,pd,1,0,NA,NA,0,0,yes,
noP-tako,noPdako,C+Obstruent,P-t,Pd,1,0,NA,NA,0,0,yes,
tvlvp-ta,tvlvpda,C+Obstruent,p-t,pd,1,0,NA,NA,0,0,yes,
tvlvp-tan,tvlvpdan,C+Obstruent,p-t,pd,1,0,NA,NA,0,0,yes,
mukvp-ta,mukvpda,C+Obstruent,p-t,pd,1,0,NA,NA,0,0,yes,
migxlvp-ta,migxlvpda,C+Obstruent,p-t,pd,1,0,NA,NA,0,0,yes,
putxlvp-ta,putxlvpda,C+Obstruent,p-t,pd,1,0,NA,NA,0,0,yes,
putxlvp-ci,putxlvpJa,C+Obstruent,p-c,pJ,1,0,NA,NA,0,0,yes,
siP-ta,siPda,C+Obstruent,P-t,Pd,1,0,NA,NA,0,0,yes,
siP-te,siPde,C+Obstruent,P-t,Pd,1,0,NA,NA,0,0,yes,
siP-tvlako,siPdvlako,C+Obstruent,P-t,Pd,1,0,NA,NA,0,0,yes,
aswip-tvlakoyo,aswipdvlakoyo,C+Obstruent,p-t,pd,1,0,NA,NA,0,0,yes,
vlyvp-ta,vlyvpda,C+Obstruent,p-t,pd,1,0,NA,NA,0,0,yes,
vcilvp-tvlako,vcilvpdvlako,C+Obstruent,p-t,pd,1,0,NA,NA,0,0,yes,
pvs-ca,pvsJa,C+Obstruent,s-c,sJ,1,0,NA,NA,0,0,yes,
i*s-canha,i*sJanha,C+Obstruent,*s-c,*sJ,1,0,NA,NA,0,0,yes,
i*s-cyo,i*sJyo,C+Obstruent,*s-c,*sJ,1,0,NA,NA,0,0,yes,
cemi*s-ci,cemi*sJi,C+Obstruent,*s-c,*sJ,1,0,NA,NA,0,0,yes,
nas-ci,nasJi,C+Obstruent,s-c,sJ,1,0,NA,NA,0,0,yes,
pvs-ca,pvsJa,C+Obstruent,s-c,sJ,1,0,NA,NA,0,0,yes,
pvs-canha,pvsJanha,C+Obstruent,s-c,sJ,1,0,NA,NA,0,0,yes,
*sis-ca,sisJa,C+Obstruent,s-c,sJ,1,0,NA,NA,0,0,yes,
i*s-ca,i*sJa,C+Obstruent,*s-c,*sJ,1,0,NA,NA,0,0,yes,
i*s-canha,i*sJanha,C+Obstruent,*s-c,*sJ,1,0,NA,NA,0,0,yes,
i*s-cyo,i*sJyo,C+Obstruent,*s-c,*sJ,1,0,NA,NA,0,0,yes,
i*s-ci,i*sJi,C+Obstruent,*s-c,*sJ,1,0,NA,NA,0,0,yes,
pvs-kilyvko,pvsgilyvko,C+Obstruent,s-k,sg,1,0,NA,NA,0,0,yes,
us-kinxn,usginxn,C+Obstruent,s-k,sg,1,0,NA,NA,0,0,yes,
us-kin,usgin,C+Obstruent,s-k,sg,1,0,NA,NA,0,0,yes,
masi*s-ke,masi*sge,C+Obstruent,*s-k,*sg,1,0,NA,NA,0,0,yes,
i*s-ke,i*sge,C+Obstruent,*s-k,*sg,1,0,NA,NA,0,0,yes,
i*s-ke*skuna,i*sgeSkuna,C+Obstruent,*s-k,*sg,1,0,NA,NA,0,0,yes,
i*s-ke*sta,i*sgeSta,C+Obstruent,*s-k,*sg,1,0,NA,NA,0,0,yes,
i*s-ke*sv,i*sgeSv,C+Obstruent,*s-k,*sg,1,0,NA,NA,0,0,yes,
i*s-ko,i*sgo,C+Obstruent,*s-k,*sg,1,0,NA,NA,0,0,yes,
i*s-ku,i*sgu,C+Obstruent,*s-k,*sg,1,0,NA,NA,0,0,yes,
i*s-ki,i*sgi,C+Obstruent,*s-k,*sg,1,0,NA,NA,0,0,yes,
pvs-kyv,pvsgyv,C+Obstruent,s-k,sg,1,0,NA,NA,0,0,yes,
us-kinxn,usginxn,C+Obstruent,s-k,sg,1,0,NA,NA,0,0,yes,
cemi*s-ke*sta,cemi*sge*sta,C+Obstruent,*s-k,*sg,1,0,NA,NA,0,0,yes,
cemi*s-kuna,cemi*sguna,C+Obstruent,*s-k,*sg,1,0,NA,NA,0,0,yes,
i*s-ki,i*sgi,C+Obstruent,*s-k,*sg,1,0,NA,NA,0,0,yes,
i*s-kin,i*sgin,C+Obstruent,*s-k,*sg,1,0,NA,NA,0,0,yes,
i*s-kille,i*sgille,C+Obstruent,*s-k,*sg,1,0,NA,NA,0,0,yes,
pvs-ko,pvsgo,C+Obstruent,s-k,kg,1,0,NA,NA,0,0,yes,
us-ko,usgo,C+Obstruent,s-k,kg,1,0,NA,NA,0,0,yes,
pvs-kyv,pvsgyv,C+Obstruent,s-k,sg,1,0,NA,NA,0,0,yes,
us-ko,usgo,C+Obstruent,s-k,sg,1,0,NA,NA,0,0,yes,
us-kin,us*kin,C+Obstruent,s-k,sg,1,0,NA,NA,0,0,yes,
i*s-ko,i*sgo,C+Obstruent,*s-k,*sg,1,0,NA,NA,0,0,yes,
i*s-ku,i*sgu,C+Obstruent,*s-k,*sg,1,0,NA,NA,0,0,yes,
i*s-ko,i*sgo,C+Obstruent,*s-k,*sg,1,0,NA,NA,0,0,yes,
i*s-sxpnita,i*s*sxpnita,C+Obstruent,*s-s,*s*s,1,0,NA,NA,0,0,yes,
i*s-ta,i*sda,C+Obstruent,*s-t,*sd,1,0,NA,NA,0,0,yes,
i*s-dvla,i*sdvla,C+Obstruent,*s-t,*sd,1,0,NA,NA,0,0,yes,
i*s-tvnte,i*sdvnte,C+Obstruent,*s-t,*sd,1,0,NA,NA,0,0,yes,
cemi*sda,cemi*sda,C+Obstruent,*s-t,*sd,1,0,NA,NA,0,0,yes,
cemi*s-te,cemi*sde,C+Obstruent,*s-t,*sd,1,0,NA,NA,0,0,yes,
cemiS-tenta,cemiS*tenta,C+Obstruent,*s-t,*sd,1,0,NA,NA,0,0,yes,
i*s-ta,i*sda,C+Obstruent,*s-t,*sd,1,0,NA,NA,0,0,yes,
i*s-teyo,i*sdeyo,C+Obstruent,*s-t,*sd,1,0,NA,NA,0,0,yes,
i*s-tvni,i*sdvni,C+Obstruent,*s-t,*sd,1,0,NA,NA,0,0,yes,
i*s-tvnte,i*sdvnte,C+Obstruent,*s-t,*sd,1,0,NA,NA,0,0,yes,
kaT-ci,kaTJi,C+Obstruent,T-c,TJ,1,0,NA,NA,0,0,yes,
dxt-cinxn,dxtJinxn,C+Obstruent,t-c,tJ,1,0,NA,NA,0,0,yes,
kvt-ci,kvtJi,C+Obstruent,t-c,tJ,1,0,NA,NA,0,0,yes,
dxt-cinxn,dxtJinxn,C+Obstruent,t-c,tJ,1,0,NA,NA,0,0,yes,
dxt-cito,dxtJito,C+Obstruent,t-c,tJ,1,0,NA,NA,0,0,yes,
pat-ciyo,patJiyo,C+Obstruent,t-c,tJ,1,0,NA,NA,0,0,yes,
sit-ko,sitgo,C+Obstruent,t-k,tg,1,0,NA,NA,0,0,yes,
kaT-kvtxn,kaTgvtxn,C+Obstruent,T-k,Tg,1,0,NA,NA,0,0,yes,
kaT-ko,kaTgo,C+Obstruent,T-k,Tg,1,0,NA,NA,0,0,yes,
kaT-ku,kaTgu,C+Obstruent,T-k,Tg,1,0,NA,NA,0,0,yes,
kaT-kin,kaTgin,C+Obstruent,T-k,Tg,1,0,NA,NA,0,0,yes,
kvt-keSne,kvtgeSne,C+Obstruent,t-k,tg,1,0,NA,NA,0,0,yes,
tat-ko,tatgo,C+Obstruent,t-k,tg,1,0,NA,NA,0,0,yes,
tat-kine,tatgine,C+Obstruent,t-k,tg,1,0,NA,NA,0,0,yes,
tat-kinta,tatginta,C+Obstruent,t-k,tg,1,0,NA,NA,0,0,yes,
txt-ko,txtgo,C+Obstruent,t-k,tg,1,0,NA,NA,0,0,yes,
dxt-ko,dxtgo,C+Obstruent,t-k,tg,1,0,NA,NA,0,0,yes,
mut-ko,mutgo,C+Obstruent,t-k,tg,1,0,NA,NA,0,0,yes,
sit-ko,sitgo,C+Obstruent,t-k,tg,1,0,NA,NA,0,0,yes,
kaT-ko,kaTgo,C+Obstruent,T-k,Tg,1,0,NA,NA,0,0,yes,
kaT-ta,kaTda,C+Obstruent,T-t,Td,1,0,NA,NA,0,0,yes,
pat-ko,patgo,C+Obstruent,t-k,tg,1,0,NA,NA,0,0,yes,
pvs-kyv,pvsgyv,C+Obstruent,s-k,sg,1,0,NA,NA,0,0,yes,
pvs-ko,pvsgo,C+Obstruent,s-k,sg,1,0,NA,NA,0,0,yes,
pvs-kimyvn,pvsgimyvn,C+Obstruent,s-k,sg,1,0,NA,NA,0,0,yes,
us-kyv,usgyv,C+Obstruent,s-k,sg,1,0,NA,NA,0,0,yes,
us-kike,usgike,C+Obstruent,s-k,sg,1,0,NA,NA,0,0,yes,
us-kikito,usgikito,C+Obstruent,s-k,sg,1,0,NA,NA,0,0,yes,
us-kiman,usgiman,C+Obstruent,s-k,sg,1,0,NA,NA,0,0,yes,
us-kin,usgin,C+Obstruent,s-k,sg,1,0,NA,NA,0,0,yes,
i*s-kvna,i*sgvna,C+Obstruent,*s-k,*sg,1,0,NA,NA,0,0,yes,
i*s-kvtxn,i*sgvtxn,C+Obstruent,*s-k,*sg,1,0,NA,NA,0,0,yes,
i*s-ke,i*sge,C+Obstruent,*s-k,*sg,1,0,NA,NA,0,0,yes,
i*s-ke*sne,i*sge*sne,C+Obstruent,*s-k,*sg,1,0,NA,NA,0,0,yes,
i*s-ke*snxnte,i*sge*snxnte,C+Obstruent,*s-k,*sg,1,0,NA,NA,0,0,yes,
i*s-ke*sta,i*sge*sta,C+Obstruent,*s-k,*sg,1,0,NA,NA,0,0,yes,
i*s-ke*sv,i*sge*sv,C+Obstruent,*s-k,*sg,1,0,NA,NA,0,0,yes,
i*s-ke*sci,i*sge*sci,C+Obstruent,*s-k,*sg,1,0,NA,NA,0,0,yes,
kaT-kito,kaTgito,C+Obstruent,T-k,Tg,1,0,NA,NA,0,0,yes,
mvk-ku,mvkgu,C+Obstruent,k-k,kg,1,0,NA,NA,0,0,yes,
kaT-kito,kaTgito,C+Obstruent,T-k,Tg,1,0,NA,NA,0,0,yes,
ilk-ko,ilkgo,lC+Obstruent,lk-k,lkg,1,0,NA,NA,0,0,yes,
ilk-ko,ilko,lC+Obstruent,lk-k,lk,0,1,NA,NA,1,0,no,
ilk-ko,ikko,lC+Obstruent,lk-k,kk,0,1,NA,NA,0,1,no,
ilk-ko,ilgo,lC+Obstruent,lk-k,lg,1,1,NA,NA,1,0,yes,
ilk-ko,ikgo,lC+Obstruent,lk-k,kg,1,1,NA,NA,0,1,yes,
ilk-ki,ilkgi,lC+Obstruent,lk-k,lkg,1,0,NA,NA,0,0,yes,
ilk-ki,ilki,lC+Obstruent,lk-k,lk,0,1,NA,NA,1,0,no,
ilk-ki,ikki,lC+Obstruent,lk-k,kk,0,1,NA,NA,0,1,no,
ilk-ki,ilgi,lC+Obstruent,lk-k,lg,1,1,NA,NA,1,0,yes,
ilk-ki,ikgi,lC+Obstruent,lk-k,kg,1,1,NA,NA,0,1,yes,
ilk-nxn,ilNnxn,lC+Obstruent,lk-n,lkn,0,0,1,NA,0,0,no,
ilk-nxn,ilnxn,lC+Obstruent,lk-n,ln,0,1,NA,NA,1,0,no,
ilk-nxn,iNnxn,lC+Obstruent,lk-n,kn,0,1,1,NA,0,1,no,
Jalp-ke,Jalpge,lC+Obstruent,lp-k,lpg,1,0,NA,NA,0,0,yes,
Jalp-ke,Jalke,lC+Obstruent,lp-k,lk,0,1,NA,NA,1,0,no,
Jalp-ke,Japke,lC+Obstruent,lp-k,pk,0,1,NA,NA,0,1,no,
Jalp-ke,Jalge,lC+Obstruent,lp-k,lg,1,1,NA,NA,1,0,yes,
Jalp-ke,Japge,lC+Obstruent,lp-k,pg,1,1,NA,NA,0,1,yes,
Jalp-ta,Jalpda,lC+Obstruent,lp-t,lpd,1,0,NA,NA,0,0,yes,
Jalp-ta,Jalta,lC+Obstruent,lp-t,lt,0,1,NA,NA,1,0,no,
Jalp-ta,Japta,lC+Obstruent,lp-t,pt,0,1,NA,NA,0,1,no,
Jalp-ta,Jalda,lC+Obstruent,lp-t,ld,1,1,NA,NA,1,0,yes,
Jalp-ta,Japda,lC+Obstruent,lp-t,pd,1,1,NA,NA,0,1,yes,
nvlp-kin,nvlpgin,lC+Obstruent,lp-k,lpg,1,0,NA,NA,0,0,yes,
nvlp-kin,nvlkin,lC+Obstruent,lp-k,lk,0,1,NA,NA,1,0,no,
nvlp-kin,nvpkin,lC+Obstruent,lp-k,pk,0,1,NA,NA,0,1,no,
nvlp-kin,nvlgin,lC+Obstruent,lp-k,lg,1,1,NA,NA,1,0,yes,
nvlp-kin,nvpgin,lC+Obstruent,lp-k,pg,1,1,NA,NA,0,1,yes,
palp-ko,palpgo,lC+Obstruent,lp-k,lpg,1,0,NA,NA,0,0,yes,
palp-ko,palko,lC+Obstruent,lp-k,lk,0,1,NA,NA,1,0,no,
palp-ko,papko,lC+Obstruent,lp-k,pk,0,1,NA,NA,0,1,no,
palp-ko,palgo,lC+Obstruent,lp-k,lg,1,1,NA,NA,1,0,yes,
palp-ko,papgo,lC+Obstruent,lp-k,pg,1,1,NA,NA,0,1,yes,
olm-kyv,olmkyv,lS+Obstruent,lm-k,lmk,0,0,NA,NA,0,0,no,
olm-kyv,olkyv,lS+Obstruent,lm-k,lk,0,1,NA,NA,1,0,no,
olm-kyv,omkyv,lS+Obstruent,lm-k,mk,0,1,NA,NA,0,1,no,
kxlk-v,kxlkv,lC+Vowel,lk-v,lkv,0,0,NA,NA,NA,NA,no,
ilk-v,ilkv,lC+Vowel,lk-v,lkv,0,0,NA,NA,NA,NA,no,
ilk-v*svyo,ilkv*svyo,lC+Vowel,lk-v,lkv,0,0,NA,NA,NA,NA,no,
Jalp-a,Jalpa,lC+Vowel,lp-a,lpa,0,0,NA,NA,NA,NA,no,
nvlp-xn,nvlpxn,lC+Vowel,lp-x,lpx,0,0,NA,NA,NA,NA,no,
ilk-v,ilkv,lC+Vowel,lk- v,lkv,0,0,NA,NA,NA,NA,no,
ilk-xl,ilkxl,lC+Vowel,lk-x,lkx,0,0,NA,NA,NA,NA,no,
cvlm-xn,cvlmxn,lC+Vowel,lm-x,lmx,0,0,NA,NA,NA,NA,no,
cvlm-xl,cvlmxl,lC+Vowel,lm-x,lmx,0,0,NA,NA,NA,NA,no,
nxlk-vSneyo,nxlkvSneyo,lC+Vowel,lk-v,lkv,0,0,NA,NA,NA,NA,no,
talm-aSne,talmaSne,lC+Vowel,lm-a,lma,0,0,NA,NA,NA,NA,no,
talm-aStako,talmaStako,lC+Vowel,lm-a,lma,0,0,NA,NA,NA,NA,no,
talm-xn,talmxn,lC+Vowel,lm-x,lmx,0,0,NA,NA,NA,NA,no,
kxlk-vSta,kxlkvSta,lC+Vowel,lk-v,lkx,0,0,NA,NA,NA,NA,no,
palp-xmyvn,palpxmyvn,lC+Vowel,lp-x,lpx,0,0,NA,NA,NA,NA,no,
kxlk-xseyo,kxlkxseyo,lC+Vowel,lk-x,lkx,0,0,NA,NA,NA,NA,no,
nvlp-v,nvlpv,lC+Vowel,lp-v,lpv,0,0,NA,NA,NA,NA,no,
nvlp-xn,nvlpxn,lC+Vowel,lp-x,lpx,0,0,NA,NA,NA,NA,no,
ilk-vSko,ilkvSko,lC+Vowel,lk-v,lkv,0,0,NA,NA,NA,NA,no,
