Unnamed: 0,Morphology_R,Production_R,UR,SR,simplify_delete_obstruent,simplify_delete_lateral,nasalize,lateralize,tensify,lexome1,lexome2,form,participant,frequency,origin,predicted,pred_correct,simplify_delete_obstruent.1,simplify_delete_lateral.1,nasalize.1,lateralize.1,tensify.1,neural_prediction,neural_correct_wrong
27,neT-v,neTv,T-v,neTv,,,,,0.0,neT,v,neTv,556014,nonce,train,neTv,yes,,,,,0.0,netgv,no
28,nvlp-na,nvpna,lp-n,nvpna,0.0,1.0,0.0,0.0,,nvlp,na,nvpna,556014,high,train,,no,1.0,1.0,0.0,0.0,,nvlpna,no
29,nvlp-ta,nvlpda,lp-t,nvlpda,0.0,0.0,,,1.0,nvlp,ta,nvlpda,556014,high,train,nvlda,no,1.0,0.0,,0.0,1.0,nvlda,no
30,nvlp-v,nvlpv,lp-v,nvlpv,0.0,0.0,,,0.0,nvlp,v,nvlpv,556014,high,train,nvlpv,yes,0.0,0.0,,0.0,0.0,nvlpv,yes
31,nuk-na,nuNna,k-n,nuNna,,,1.0,,,nuk,na,nuNna,556014,nonce,train,nuNna,yes,,,1.0,,,nukna,no
32,nuk-ta,nukda,k-t,nukda,,,,,1.0,nuk,ta,nukda,556014,nonce,train,nukda,yes,,,,,1.0,nukda,yes
33,nuk-v,nukv,k-v,nukv,,,,,0.0,nuk,v,nukv,556014,nonce,train,nukv,yes,,,,,0.0,nukv,yes
34,nxlk-na,nxlkna,lk-n,nxlkna,0.0,0.0,0.0,0.0,,nxlk,na,nxlkna,556014,high,train,nxNna,no,1.0,1.0,1.0,0.0,,nxNna,no
35,nxlk-ta,nxlda,lk-t,nxlda,1.0,0.0,,,1.0,nxlk,ta,nxlda,556014,high,train,,no,1.0,1.0,,0.0,0.0,nxlda,yes
36,nxlk-v,nxlkv,lk-v,nxlkv,0.0,0.0,,,0.0,nxlk,v,nxlkv,556014,high,train,nxlkv,yes,0.0,0.0,,0.0,0.0,nxlkv,yes
37,tvlp-ta,tvlpda,lp-t,tvlpda,0.0,0.0,,,1.0,tvlp,ta,tvlpda,556014,nonce,train,tvlpda,yes,0.0,0.0,,0.0,1.0,tvlda,no
38,tvlp-na,tvlna,lp-n,tvlna,1.0,0.0,0.0,0.0,,tvlp,na,tvlna,556014,nonce,train,tvlmna,no,1.0,0.0,1.0,0.0,,tvlpna,no
39,tvlp-v,tvlpv,lp-v,tvlpv,0.0,0.0,,,0.0,tvlp,v,tvlpv,556014,nonce,train,tvlpv,yes,0.0,0.0,,0.0,0.0,tvlpv,yes
40,tok-a,toka,k-a,toka,,,,,0.0,tok,a,toka,556014,nonce,train,toka,yes,,,,,0.0,tokga,no
41,tok-ta,tokda,k-t,tokda,,,,,1.0,tok,ta,tokda,556014,nonce,train,tokda,yes,,,,,1.0,tokda,yes
42,tok-na,tokna,k-n,tokna,,,0.0,,,tok,na,tokna,556014,nonce,train,toNna,no,,,1.0,,,toNna,no
43,tup-na,tumna,p-n,tumna,,,1.0,,,tup,na,tumna,556014,nonce,train,tumna,yes,,,1.0,,,tupna,no
44,tup-v,tupv,p-v,tupv,,,,,0.0,tup,v,tupv,556014,nonce,train,tupv,yes,,,,,0.0,tupv,yes
45,tup-ta,tupda,p-t,tupda,,,,,1.0,tup,ta,tupda,556014,nonce,train,tupda,yes,,,,,1.0,tupda,yes
46,txlk-ta,txkda,lk-t,txkda,0.0,1.0,,,1.0,txlk,ta,txkda,556014,nonce,train,txkda,yes,1.0,1.0,,0.0,1.0,txlkda,no
47,txlk-na,txkna,lk-n,txkna,0.0,1.0,0.0,0.0,,txlk,na,txkna,556014,nonce,train,txNna,no,1.0,1.0,1.0,0.0,,txNna,no
48,txlk-v,txlkv,lk-v,txlkv,0.0,0.0,,,0.0,txlk,v,txlkv,556014,nonce,train,txlkv,yes,0.0,0.0,,0.0,0.0,txlkv,yes
49,dvlp-v,dvlpv,lp-v,dvlpv,0.0,0.0,,,0.0,dvlp,v,dvlpv,556014,low,train,dvlpv,yes,0.0,0.0,,0.0,1.0,dvlpv,yes
50,dvlp-na,dvlpna,lp-n,dvlpna,0.0,0.0,0.0,0.0,,dvlp,na,dvlpna,556014,low,train,dvlpna,yes,0.0,0.0,0.0,0.0,,dvlpna,yes
51,dvlp-ta,dvlda,lp-t,dvlda,1.0,0.0,,,1.0,dvlp,ta,dvlda,556014,low,train,dvlpda,no,0.0,0.0,,0.0,1.0,dvlda,yes
52,mak-ta,makda,k-t,makda,,,,,1.0,mak,ta,makda,556014,high,train,makda,yes,,,,,1.0,makda,yes
53,mak-na,maNna,k-n,maNna,,,1.0,,,mak,na,maNna,556014,high,train,maNna,yes,,,1.0,,,maNna,yes
54,mak-a,maka,k-a,maka,,,,,0.0,mak,a,maka,556014,high,train,maka,yes,,,,,0.0,maka,yes
55,malk-ta,malda,lk-t,malda,1.0,0.0,,,1.0,malk,ta,malda,556014,high,train,malkda,no,0.0,0.0,,0.0,1.0,malkda,no
56,malk-a,malka,lk-a,malka,0.0,0.0,,,0.0,malk,a,malka,556014,high,train,malka,yes,0.0,0.0,,0.0,0.0,malga,no
57,malk-na,maNna,lk-n,maNna,0.0,1.0,1.0,0.0,,malk,na,maNna,556014,high,train,malna,no,1.0,0.0,0.0,0.0,,malnka,no
58,mvlk-na,mvlkna,lk-n,mvlkna,0.0,0.0,0.0,0.0,,mvlk,na,mvlkna,556014,nonce,train,mvNna,no,1.0,1.0,1.0,0.0,,mvkna,no
59,mvlk-ta,mvlda,lk-t,mvlda,1.0,0.0,,,1.0,mvlk,ta,mvlda,556014,nonce,train,mvlda,yes,1.0,0.0,,0.0,1.0,mvlkda,no
60,mvlk-v,mvlkv,lk-v,mvlkv,0.0,0.0,,,0.0,mvlk,v,mvlkv,556014,nonce,train,mvlkv,yes,0.0,0.0,,0.0,0.0,mvlkv,yes
61,muk-ta,mukda,k-t,mukda,,,,,1.0,muk,ta,mukda,556014,low,train,mukda,yes,,,,,1.0,mukda,yes
62,muk-v,mukv,k-v,mukv,,,,,0.0,muk,v,mukv,556014,low,train,mukv,yes,,,,,0.0,mukv,yes
63,muk-na,muNna,k-n,muNna,,,1.0,,,muk,na,muNna,556014,low,train,muNna,yes,,,1.0,,,mukna,no
64,mulk-ta,mulda,lk-t,mulda,1.0,0.0,,,1.0,mulk,ta,mulda,556014,low,train,mulda,yes,1.0,0.0,,0.0,1.0,mulkda,no
65,mulk-v,mulkv,lk-v,mulkv,0.0,0.0,,,0.0,mulk,v,mulkv,556014,low,train,mulkv,yes,0.0,0.0,,0.0,0.0,mulkv,yes
66,mulk-na,mulkna,lk-n,mulkna,0.0,0.0,0.0,0.0,,mulk,na,mulkna,556014,low,train,muNna,no,1.0,1.0,1.0,0.0,,mukna,no
67,pak-a,paka,k-a,paka,,,,,0.0,pak,a,paka,556014,high,train,paka,yes,,,,,0.0,paka,yes
68,pak-ta,pakda,k-t,pakda,,,,,1.0,pak,ta,pakda,556014,high,train,pakda,yes,,,,,1.0,pakda,yes
69,pak-na,paNna,k-n,paNna,,,1.0,,,pak,na,paNna,556014,high,train,paNna,yes,,,1.0,,,panka,no
70,palk-a,palka,lk-a,palka,0.0,0.0,,,0.0,palk,a,palka,556014,high,train,palka,yes,0.0,0.0,,0.0,0.0,palka,yes
71,palk-ta,palkda,lk-t,palkda,0.0,0.0,,,1.0,palk,ta,palkda,556014,high,train,palda,no,1.0,0.0,,0.0,1.0,palda,no
72,palk-na,paNna,lk-n,paNna,0.0,1.0,1.0,0.0,,palk,na,paNna,556014,high,train,paNna,yes,1.0,1.0,1.0,0.0,,palkna,no
73,palp-na,palpna,lp-n,palpna,0.0,0.0,0.0,0.0,,palp,na,palpna,556014,high,train,palmna,no,1.0,0.0,1.0,0.0,,palpna,yes
74,palp-ta,palpda,lp-t,palpda,0.0,0.0,,,1.0,palp,ta,palpda,556014,high,train,palpda,yes,0.0,0.0,,0.0,1.0,palda,no
75,palp-a,palpa,lp-a,palpa,0.0,0.0,,,0.0,palp,a,palpa,556014,high,train,palpa,yes,0.0,0.0,,0.0,0.0,palpa,yes
76,peT-na,peTna,T-n,peTna,,,0.0,,,peT,na,peTna,556014,low,train,penna,no,,,1.0,,,petna,no
77,peT-v,peTv,T-v,peTv,,,,,0.0,peT,v,peTv,556014,low,train,peTv,yes,,,,,0.0,petdv,no
78,peT-ta,petda,T-t,petda,,,,,1.0,peT,ta,petda,556014,low,train,petda,yes,,,,,1.0,petda,yes
79,kvp-ta,pvpda,p-t,pvpda,,,,,1.0,kvp,ta,pvpda,556014,nonce,train,pvpda,yes,,,,,1.0,kvpda,no
80,kvp-na,pvmna,p-n,pvmna,,,1.0,,,kvp,na,pvmna,556014,nonce,train,pvmna,yes,,,1.0,,,kvpna,no
81,kvp-v,pvpv,p-v,pvpv,,,,,0.0,kvp,v,pvpv,556014,nonce,train,pvpv,yes,,,,,0.0,kvpv,no
82,pulk-na,puNna,lk-n,puNna,0.0,1.0,1.0,0.0,,pulk,na,puNna,556014,high,train,pukna,no,1.0,1.0,0.0,0.0,,pulkna,no
83,pulk-ta,pulda,lk-t,pulda,1.0,0.0,,,1.0,pulk,ta,pulda,556014,high,train,pulda,yes,1.0,0.0,,0.0,1.0,pulda,yes
84,pulk-v,pulkv,lk-v,pulkv,0.0,0.0,,,0.0,pulk,v,pulkv,556014,high,train,pulkv,yes,0.0,0.0,,0.0,0.0,pulkv,yes
85,pulT-ta,pulda,lT-t,pulda,1.0,0.0,,,1.0,pulT,ta,pulda,556014,nonce,train,pulda,yes,1.0,0.0,,0.0,1.0,pulda,yes
86,pulT-na,pulna,lT-n,pulna,1.0,0.0,0.0,0.0,,pulT,na,pulna,556014,nonce,train,pulna,yes,1.0,0.0,0.0,0.0,,pulkna,no
87,pulT-v,pulTv,lT-v,pulTv,0.0,0.0,,,0.0,pulT,v,pulTv,556014,nonce,train,pulTv,yes,0.0,0.0,,0.0,0.0,pulkv,no
88,bop-na,bopna,p-n,bopna,,,0.0,,,bop,na,bopna,556014,high,train,bomna,no,,,1.0,,,popna,no
89,bop-ta,bopda,p-t,bopda,,,,,1.0,bop,ta,bopda,556014,high,train,bopda,yes,,,,,1.0,popda,no
90,bop-a,bopa,p-a,bopa,,,,,0.0,bop,a,bopa,556014,high,train,bopa,yes,,,,,1.0,popapa,no
91,sok-a,soka,k-a,soka,,,,,0.0,sok,a,soka,556014,low,train,soka,yes,,,,,0.0,sokga,no
92,sok-ta,sokda,k-t,sokda,,,,,1.0,sok,ta,sokda,556014,low,train,sokda,yes,,,,,1.0,sokda,yes
93,sok-na,sokna,k-n,sokna,,,0.0,,,sok,na,sokna,556014,low,train,soNna,no,,,1.0,,,*soNa,no
94,sulk-ta,sulda,lk-t,sulda,1.0,0.0,,,1.0,sulk,ta,sulda,556014,nonce,train,sulkda,no,0.0,0.0,,0.0,1.0,sulkda,no
95,sulk-na,sulna,lk-n,sulna,1.0,0.0,0.0,0.0,,sulk,na,sulna,556014,nonce,train,suNna,no,1.0,1.0,1.0,0.0,,*sumna,no
96,sulk-v,sulkv,lk-v,sulkv,0.0,0.0,,,0.0,sulk,v,sulkv,556014,nonce,train,sulkv,yes,0.0,0.0,,0.0,0.0,sulkv,yes
97,sik-v,sikv,k-v,sikv,,,,,0.0,sik,v,sikv,556014,low,train,sikv,yes,,,,,0.0,sikv,yes
98,sik-na,siNna,k-n,siNna,,,1.0,,,sik,na,siNna,556014,low,train,siNna,yes,,,1.0,,,sikna,no
99,sik-ta,sikda,k-t,sikda,,,,,1.0,sik,ta,sikda,556014,low,train,sikda,yes,,,,,1.0,sikda,yes
100,Svk-na,SvNna,k-n,SvNna,,,1.0,,,Svk,na,SvNna,556014,high,train,SvNna,yes,,,1.0,,,*svkga,no
101,Svk-ta,Svkda,k-t,Svkda,,,,,1.0,Svk,ta,Svkda,556014,high,train,Svkda,yes,,,,,1.0,svkda,no
102,Svk-v,Svkv,k-v,Svkv,,,,,0.0,Svk,v,Svkv,556014,high,train,Svkv,yes,,,,,0.0,svkgv,no
103,Sip-ta,Sipda,p-t,Sipda,,,,,1.0,Sip,ta,Sipda,556014,high,train,Sipda,yes,,,,,1.0,sipda,no
104,Sip-na,Sipna,p-n,Sipna,,,0.0,,,Sip,na,Sipna,556014,high,train,Simna,no,,,1.0,,,*sipna,no
105,Sip-v,Sipv,p-v,Sipv,,,,,0.0,Sip,v,Sipv,556014,high,train,Sipv,yes,,,,,0.0,sipv,no
106,alk-a,alka,lk-a,alka,0.0,0.0,,,0.0,alk,a,alka,556014,nonce,train,alka,yes,,0.0,,0.0,0.0,alga,no
107,alk-na,aNna,lk-n,aNna,0.0,1.0,1.0,0.0,,alk,na,aNna,556014,nonce,train,alkna,no,,0.0,0.0,0.0,,alna,no
108,alk-ta,alda,lk-t,alda,1.0,0.0,,,1.0,alk,ta,alda,556014,nonce,train,alkda,no,,0.0,,0.0,1.0,alda,yes
109,yalp-na,yamna,lp-n,yamna,0.0,1.0,1.0,0.0,,yalp,na,yamna,556014,low,train,yalmna,no,1.0,0.0,1.0,0.0,,yalpna,no
110,yalp-a,yalpa,lp-a,yalpa,0.0,0.0,,,0.0,yalp,a,yalpa,556014,low,train,yalpa,yes,0.0,0.0,,0.0,0.0,yalpa,yes
111,yalp-ta,yalda,lp-t,yalda,1.0,0.0,,,1.0,yalp,ta,yalda,556014,low,train,yalpda,no,0.0,0.0,,0.0,1.0,yalda,yes
112,yaT-na,yanna,T-n,yanna,,,1.0,,,yaT,na,yanna,556014,low,train,yanna,yes,,,1.0,,,yaNna,no
113,yaT-ta,yatda,T-t,yatda,,,,,1.0,yaT,ta,yatda,556014,low,train,yatda,yes,,,,,1.0,yatda,yes
114,yaT-a,yaTa,T-a,yaTa,,,,,0.0,yaT,a,yaTa,556014,low,train,yaTa,yes,,,,,0.0,yatda,no
115,vlk-na,vNna,lk-n,vNna,0.0,1.0,1.0,0.0,,vlk,na,vNna,556014,low,train,vNna,yes,,1.0,1.0,0.0,,vlkna,no
116,vlk-v,vlkv,lk-v,vlkv,0.0,0.0,,,0.0,vlk,v,vlkv,556014,low,train,vlkv,yes,,0.0,,0.0,0.0,vlkv,yes
117,vlk-ta,vlda,lk-t,vlda,1.0,0.0,,,1.0,vlk,ta,vlda,556014,low,train,vlkda,no,,0.0,,0.0,1.0,vlda,yes
118,vp-ta,vpda,p-t,vpda,,,,,1.0,vp,ta,vpda,556014,low,train,vpda,yes,,,,,1.0,vpda,yes
119,vp-v,vpv,p-v,vpv,,,,,0.0,vp,v,vpv,556014,low,train,vpv,yes,,,,,0.0,vpv,yes
120,vp-na,vmna,p-n,vmna,,,1.0,,,vp,na,vmna,556014,low,train,vmna,yes,,,1.0,,,vpan,no
121,vP-na,vmna,P-n,vmna,,,1.0,,,vP,na,vmna,556014,low,train,vmna,yes,,,1.0,,,vpna,no
122,vP-ta,vpda,P-t,vpda,,,,,1.0,vP,ta,vpda,556014,low,train,vpda,yes,,,,,1.0,vpda,yes
123,vP-v,vPv,P-v,vPv,,,,,0.0,vP,v,vPv,556014,low,train,vPv,yes,,,,,0.0,vpv,no
124,yvlp-ta,jvlpda,lp-t,jvlpda,0.0,0.0,,,1.0,yvlp,ta,jvlpda,556014,low,train,jvlpda,yes,1.0,0.0,,0.0,1.0,yvlda,no
125,yvlp-na,jvpna,lp-n,jvpna,0.0,1.0,0.0,0.0,,yvlp,na,jvpna,556014,low,train,jvlpna,no,1.0,0.0,0.0,0.0,,yvlpna,no
126,yvlp-v,jvlpv,lp-v,jvlpv,0.0,0.0,,,0.0,yvlp,v,jvlpv,556014,low,train,jvlpv,yes,1.0,0.0,,0.0,0.0,yvlpv,no
127,yvT-ta,jvtda,T-t,jvtda,,,,,1.0,yvT,ta,jvtda,556014,low,train,jvtda,yes,,,,,1.0,yvtda,no
128,yvT-v,jvTv,T-v,jvTv,,,,,0.0,yvT,v,jvTv,556014,low,train,jvTv,yes,,,,,0.0,yvtdv,no
129,yvT-na,jvnna,T-n,jvnna,,,1.0,,,yvT,na,jvnna,556014,low,train,jvnna,yes,,,1.0,,,yvtda,no
130,up-ta,upda,p-t,upda,,,,,1.0,up,ta,upda,556014,nonce,train,upda,yes,,,,,1.0,upda,yes
131,up-v,upv,p-v,upv,,,,,0.0,up,v,upv,556014,nonce,train,upv,yes,,,,,0.0,upv,yes
132,up-na,umna,p-n,umna,,,1.0,,,up,na,umna,556014,nonce,train,umna,yes,,,1.0,,,upna,no
133,xlP-na,xPna,lP-n,xPna,0.0,1.0,0.0,0.0,,xlP,na,xPna,556014,low,train,xPna,yes,,1.0,0.0,0.0,,xNna,no
134,xlP-v,xlPv,lP-v,xlPv,0.0,0.0,,,0.0,xlP,v,xlPv,556014,low,train,xlPv,yes,,0.0,,0.0,0.0,xlpv,no
135,xlP-ta,xlPda,lP-t,xlPda,0.0,0.0,,,1.0,xlP,ta,xlPda,556014,low,train,xlPda,yes,,0.0,,0.0,1.0,xlda,no
136,ik-v,ikv,k-v,ikv,,,,,0.0,ik,v,ikv,556014,low,train,ikv,yes,,,,,0.0,ikv,yes
137,ik-na,iNna,k-n,iNna,,,1.0,,,ik,na,iNna,556014,low,train,iNna,yes,,,1.0,,,ikna,no
138,ik-ta,ikda,k-t,ikda,,,,,1.0,ik,ta,ikda,556014,low,train,ikda,yes,,,,,1.0,ikda,yes
139,ilk-v,ilkv,lk-v,ilkv,0.0,0.0,,,0.0,ilk,v,ilkv,556014,high,train,ilkv,yes,,0.0,,0.0,0.0,ilkv,yes
140,ilk-na,iNna,lk-n,iNna,0.0,1.0,1.0,0.0,,ilk,na,iNna,556014,high,train,iNna,yes,,1.0,1.0,0.0,,ilna,no
141,ilk-ta,ilda,lk-t,ilda,1.0,0.0,,,1.0,ilk,ta,ilda,556014,high,train,ikda,no,,1.0,,0.0,1.0,ilda,yes
142,ip-ta,ipda,p-t,ipda,,,,,1.0,ip,ta,ipda,556014,high,train,ipda,yes,,,,,1.0,ipda,yes
143,ip-na,ipna,p-n,ipna,,,0.0,,,ip,na,ipna,556014,high,train,imna,no,,,1.0,,,ipna,yes
144,ip-v,ipv,p-v,ipv,,,,,0.0,ip,v,ipv,556014,high,train,ipv,yes,,,,,0.0,ipv,yes
145,cak-na,cakna,k-n,cakna,,,0.0,,,cak,na,cakna,556014,high,train,caNna,no,,,1.0,,,cakna,yes
146,cak-ta,cakda,k-t,cakda,,,,,1.0,cak,ta,cakda,556014,high,train,cakda,yes,,,,,1.0,cakda,yes
147,cak-a,caka,k-a,caka,,,,,0.0,cak,a,caka,556014,high,train,caka,yes,,,,,0.0,cakga,no
148,cvk-v,cvkv,k-v,cvkv,,,,,0.0,cvk,v,cvkv,556014,high,train,cvkv,yes,,,,,0.0,cvkv,yes
149,cvk-ta,cvkda,k-t,cvkda,,,,,1.0,cvk,ta,cvkda,556014,high,train,cvkda,yes,,,,,1.0,cvkda,yes
150,cvk-na,cvNna,k-n,cvNna,,,1.0,,,cvk,na,cvNna,556014,high,train,cvNna,yes,,,1.0,,,cvkna,no
151,cvp-ta,cvpda,p-t,cvpda,,,,,1.0,cvp,ta,cvpda,556014,high,train,cvpda,yes,,,,,1.0,cvpda,yes
152,cvp-v,cvpv,p-v,cvpv,,,,,0.0,cvp,v,cvpv,556014,high,train,cvpv,yes,,,,,0.0,cvpv,yes
153,cvp-na,cvmna,p-n,cvmna,,,1.0,,,cvp,na,cvmna,556014,high,train,cvmna,yes,,,1.0,,,cvpna,no
154,cik-ta,cikda,k-t,cikda,,,,,1.0,cik,ta,cikda,556014,nonce,train,cikda,yes,,,,,1.0,cikda,yes
155,cik-v,cikv,k-v,cikv,,,,,0.0,cik,v,cikv,556014,nonce,train,cikv,yes,,,,,0.0,cikv,yes
156,cik-na,ciNna,k-n,ciNna,,,1.0,,,cik,na,ciNna,556014,nonce,train,ciNna,yes,,,1.0,,,cikna,no
157,cilk-na,ciNna,lk-n,ciNna,0.0,1.0,1.0,0.0,,cilk,na,ciNna,556014,nonce,train,ciNna,yes,1.0,1.0,1.0,0.0,,cilkna,no
158,cilk-v,cilkv,lk-v,cilkv,0.0,0.0,,,0.0,cilk,v,cilkv,556014,nonce,train,cilkv,yes,0.0,0.0,,0.0,0.0,cilkv,yes
159,cilk-ta,cilkda,lk-t,cilkda,0.0,0.0,,,1.0,cilk,ta,cilkda,556014,nonce,train,cilda,no,1.0,0.0,,0.0,1.0,cilda,no
160,cip-ta,cipda,p-t,cipda,,,,,1.0,cip,ta,cipda,556014,high,train,cipda,yes,,,,,1.0,cipda,yes
161,cip-na,cimna,p-n,cimna,,,1.0,,,cip,na,cimna,556014,high,train,cimna,yes,,,1.0,,,cipna,no
162,cip-v,cipv,p-v,cipv,,,,,0.0,cip,v,cipv,556014,high,train,cipv,yes,,,,,0.0,cipv,yes
163,Jalp-a,Jalpa,lp-a,Jalpa,0.0,0.0,,,0.0,Jalp,a,Jalpa,556014,high,train,Jalpa,yes,0.0,0.0,,0.0,0.0,Jalpa,yes
164,Jalp-na,Jalmna,lp-n,Jalmna,0.0,0.0,1.0,0.0,,Jalp,na,Jalmna,556014,high,train,Jalmna,yes,1.0,0.0,1.0,0.0,,Jalpna,no
165,Jalp-ta,Jalpda,lp-t,Jalpda,0.0,0.0,,,1.0,Jalp,ta,Jalpda,556014,high,train,Jalpda,yes,0.0,0.0,,0.0,1.0,Jalda,no
166,Jik-na,JiNna,k-n,JiNna,,,1.0,,,Jik,na,JiNna,556014,low,train,JiNna,yes,,,1.0,,,Jikna,no
167,Jik-v,Jikv,k-v,Jikv,,,,,0.0,Jik,v,Jikv,556014,low,train,Jikv,yes,,,,,0.0,Jikv,yes
168,Jik-ta,Jikda,k-t,Jikda,,,,,1.0,Jik,ta,Jikda,556014,low,train,Jikda,yes,,,,,1.0,Jikda,yes
169,Cak-ta,Cakda,k-t,Cakda,,,,,1.0,Cak,ta,Cakda,556014,nonce,train,Cakda,yes,,,,,1.0,Cakda,yes
170,Cak-na,Cakna,k-n,Cakna,,,0.0,,,Cak,na,Cakna,556014,nonce,train,CaNna,no,,,1.0,,,Cakna,yes
171,Cak-a,Caka,k-a,Caka,,,,,0.0,Cak,a,Caka,556014,nonce,train,Caka,yes,,,,,0.0,Caka,yes
172,Top-na,Tomna,p-n,Tomna,,,1.0,,,Top,na,Tomna,556014,nonce,train,Tomna,yes,,,1.0,,,topna,no
173,Top-ta,Topda,p-t,Topda,,,,,1.0,Top,ta,Topda,556014,nonce,train,Topda,yes,,,,,1.0,topda,no
174,Top-a,Topa,p-a,Topa,,,,,0.0,Top,a,Topa,556014,nonce,train,Topa,yes,,,,,0.0,topa,no
175,halT-ta,halda,lT-t,halda,1.0,0.0,,,1.0,halT,ta,halda,556014,low,train,halda,yes,1.0,0.0,,0.0,1.0,halda,yes
176,halT-a,halTa,lT-a,halTa,0.0,0.0,,,0.0,halT,a,halTa,556014,low,train,halTa,yes,0.0,0.0,,0.0,0.0,halga,no
