...1,Trial_Nr,Trial_Id,Exp_Subject_Id,OptionChosen,TargetWord,knowledge,StemType,Frequency,AffixInitialSegment,Stem_romanization,Affix_romanization,Word_romanization,Tensification,Nasalization,L_deletion,C_deletion,Lateralization,UR,JunctureType,Production_R,predicted
19,2,107,556014,option_1,낡나,5,lC,high,Sonorant,nalk,na,nalkna,,1.0,1.0,0.0,0.0,lk-n,lC+Sonorant,naNna,nalnka
20,75,104,556014,option_3,낡다,5,lC,high,Obstruent,nalk,ta,nalkta,1.0,,0.0,1.0,,lk-t,lC+Obstruent,nalda,nalda
21,24,170,556014,option_1,낡아,5,lC,high,Vowel,nalk,a,nalka,0.0,,0.0,0.0,,lk-a,lC+Vowel,nalka,nalga
22,6,173,556014,option_2,낣다,1,lC,nonce,Obstruent,nalp,ta,nalpta,1.0,,0.0,0.0,,lp-t,lC+Obstruent,nalpda,nalda
23,175,132,556014,option_1,낣아,1,lC,nonce,Vowel,nalp,a,nalpa,0.0,,0.0,0.0,,lp-a,lC+Vowel,nalpa,nalpa
24,56,94,556014,option_1,낣나,1,lC,nonce,Sonorant,nalp,na,nalpna,,1.0,1.0,0.0,0.0,lp-n,lC+Sonorant,namna,nalpna
25,19,113,556014,option_2,냍다,1,C,nonce,Obstruent,neT,ta,neTta,1.0,,,,,T-t,C+Obstruent,netda,netda
26,111,10,556014,option_1,냍나,1,C,nonce,Sonorant,neT,na,neTna,,1.0,,,,T-n,C+Sonorant,nenna,netda
27,11,178,556014,option_1,냍어,1,C,nonce,Vowel,neT,v,neTv,0.0,,,,,T-v,C+Vowel,neTv,netgv
28,91,82,556014,option_3,넓나,5,lC,high,Sonorant,nvlp,na,nvlpna,,0.0,1.0,0.0,0.0,lp-n,lC+Sonorant,nvpna,nvlpna
29,74,56,556014,option_2,넓다,5,lC,high,Obstruent,nvlp,ta,nvlpta,1.0,,0.0,0.0,,lp-t,lC+Obstruent,nvlpda,nvlda
30,141,88,556014,option_1,넓어,5,lC,high,Vowel,nvlp,v,nvlpv,0.0,,0.0,0.0,,lp-v,lC+Vowel,nvlpv,nvlpv
31,20,2,556014,option_1,눅나,5,C,nonce,Sonorant,nuk,na,nukna,,1.0,,,,k-n,C+Sonorant,nuNna,nukna
32,118,164,556014,option_2,눅다,5,C,nonce,Obstruent,nuk,ta,nukta,1.0,,,,,k-t,C+Obstruent,nukda,nukda
33,157,65,556014,option_1,눅어,5,C,nonce,Vowel,nuk,v,nukv,0.0,,,,,k-v,C+Vowel,nukv,nukv
34,23,46,556014,option_2,늙나,5,lC,high,Sonorant,nxlk,na,nxlkna,,0.0,0.0,0.0,0.0,lk-n,lC+Sonorant,nxlkna,nxNna
35,37,112,556014,option_3,늙다,5,lC,high,Obstruent,nxlk,ta,nxlkta,1.0,,0.0,1.0,,lk-t,lC+Obstruent,nxlda,nxlda
36,168,20,556014,option_1,늙어,5,lC,high,Vowel,nxlk,v,nxlkv,0.0,,0.0,0.0,,lk-v,lC+Vowel,nxlkv,nxlkv
37,161,48,556014,option_2,덟다,1,lC,nonce,Obstruent,tvlp,ta,tvlpta,1.0,,0.0,0.0,,lp-t,lC+Obstruent,tvlpda,tvlda
38,28,155,556014,option_4,덟나,1,lC,nonce,Sonorant,tvlp,na,tvlpna,,0.0,0.0,1.0,0.0,lp-n,lC+Sonorant,tvlna,tvlpna
39,80,39,556014,option_1,덟어,1,lC,nonce,Vowel,tvlp,v,tvlpv,0.0,,0.0,0.0,,lp-v,lC+Vowel,tvlpv,tvlpv
40,140,31,556014,option_1,독아,1,C,nonce,Vowel,tok,a,toka,0.0,,,,,k-a,C+Vowel,toka,tokga
41,112,145,556014,option_2,독다,1,C,nonce,Obstruent,tok,ta,tokta,1.0,,,,,k-t,C+Obstruent,tokda,tokda
42,15,100,556014,option_2,독나,1,C,nonce,Sonorant,tok,na,tokna,,0.0,,,,k-n,C+Sonorant,tokna,toNna
43,96,147,556014,option_1,둡나,1,C,nonce,Sonorant,tup,na,tupna,,1.0,,,,p-n,C+Sonorant,tumna,tupna
44,55,78,556014,option_1,둡어,1,C,nonce,Vowel,tup,v,tupv,0.0,,,,,p-v,C+Vowel,tupv,tupv
45,107,77,556014,option_2,둡다,1,C,nonce,Obstruent,tup,ta,tupta,1.0,,,,,p-t,C+Obstruent,tupda,tupda
46,120,25,556014,option_4,듥다,1,lC,nonce,Obstruent,txlk,ta,txlkta,1.0,,1.0,0.0,,lk-t,lC+Obstruent,txkda,txlkda
47,116,91,556014,option_3,듥나,1,lC,nonce,Sonorant,txlk,na,txlkna,,0.0,1.0,0.0,0.0,lk-n,lC+Sonorant,txkna,txNna
48,127,83,556014,option_1,듥어,1,lC,nonce,Vowel,txlk,v,txlkv,0.0,,0.0,0.0,,lk-v,lC+Vowel,txlkv,txlkv
49,39,19,556014,option_1,떫어,5,lC,low,Vowel,dvlp,v,dvlpv,0.0,,0.0,0.0,,lp-v,lC+Vowel,dvlpv,dvlpv
50,41,111,556014,option_2,떫나,5,lC,low,Sonorant,dvlp,na,dvlpna,,0.0,0.0,0.0,0.0,lp-n,lC+Sonorant,dvlpna,dvlpna
51,121,44,556014,option_3,떫다,5,lC,low,Obstruent,dvlp,ta,dvlpta,1.0,,0.0,1.0,,lp-t,lC+Obstruent,dvlda,dvlda
52,87,139,556014,option_2,막다,5,C,high,Obstruent,mak,ta,makta,1.0,,,,,k-t,C+Obstruent,makda,makda
53,106,1,556014,option_1,막나,5,C,high,Sonorant,mak,na,makna,,1.0,,,,k-n,C+Sonorant,maNna,maNna
54,171,62,556014,option_1,막아,5,C,high,Vowel,mak,a,maka,0.0,,,,,k-a,C+Vowel,maka,maka
55,44,11,556014,option_3,맑다,5,lC,high,Obstruent,malk,ta,malkta,1.0,,0.0,1.0,,lk-t,lC+Obstruent,malda,malkda
56,104,50,556014,option_1,맑아,5,lC,high,Vowel,malk,a,malka,0.0,,0.0,0.0,,lk-a,lC+Vowel,malka,malga
57,92,167,556014,option_1,맑나,5,lC,high,Sonorant,malk,na,malkna,,1.0,1.0,0.0,0.0,lk-n,lC+Sonorant,maNna,malnka
58,131,154,556014,option_2,멁나,2,lC,nonce,Sonorant,mvlk,na,mvlkna,,0.0,0.0,0.0,0.0,lk-n,lC+Sonorant,mvlkna,mvkna
59,40,3,556014,option_3,멁다,2,lC,nonce,Obstruent,mvlk,ta,mvlkta,1.0,,0.0,1.0,,lk-t,lC+Obstruent,mvlda,mvlkda
60,176,68,556014,option_1,멁어,2,lC,nonce,Vowel,mvlk,v,mvlkv,0.0,,0.0,0.0,,lk-v,lC+Vowel,mvlkv,mvlkv
61,82,13,556014,option_2,묵다,3,C,low,Obstruent,muk,ta,mukta,1.0,,,,,k-t,C+Obstruent,mukda,mukda
62,59,23,556014,option_1,묵어,3,C,low,Vowel,muk,v,mukv,0.0,,,,,k-v,C+Vowel,mukv,mukv
63,99,98,556014,option_1,묵나,3,C,low,Sonorant,muk,na,mukna,,1.0,,,,k-n,C+Sonorant,muNna,mukna
64,72,161,556014,option_3,묽다,5,lC,low,Obstruent,mulk,ta,mulkta,1.0,,0.0,1.0,,lk-t,lC+Obstruent,mulda,mulkda
65,146,80,556014,option_1,묽어,5,lC,low,Vowel,mulk,v,mulkv,0.0,,0.0,0.0,,lk-v,lC+Vowel,mulkv,mulkv
66,18,84,556014,option_2,묽나,5,lC,low,Sonorant,mulk,na,mulkna,,0.0,0.0,0.0,0.0,lk-n,lC+Sonorant,mulkna,mukna
67,170,47,556014,option_1,박아,5,C,high,Vowel,pak,a,paka,0.0,,,,,k-a,C+Vowel,paka,paka
68,174,32,556014,option_2,박다,5,C,high,Obstruent,pak,ta,pakta,1.0,,,,,k-t,C+Obstruent,pakda,pakda
69,86,5,556014,option_1,박나,5,C,high,Sonorant,pak,na,pakna,,1.0,,,,k-n,C+Sonorant,paNna,panka
70,8,26,556014,option_1,밝아,5,lC,high,Vowel,palk,a,palka,0.0,,0.0,0.0,,lk-a,lC+Vowel,palka,palka
71,147,69,556014,option_2,밝다,5,lC,high,Obstruent,palk,ta,palkta,1.0,,0.0,0.0,,lk-t,lC+Obstruent,palkda,palda
72,158,15,556014,option_1,밝나,5,lC,high,Sonorant,palk,na,palkna,,1.0,1.0,0.0,0.0,lk-n,lC+Sonorant,paNna,palkna
73,102,122,556014,option_2,밟나,5,lC,high,Sonorant,palp,na,palpna,,0.0,0.0,0.0,0.0,lp-n,lC+Sonorant,palpna,palpna
74,177,110,556014,option_2,밟다,5,lC,high,Obstruent,palp,ta,palpta,1.0,,0.0,0.0,,lp-t,lC+Obstruent,palpda,palda
75,136,67,556014,option_1,밟아,5,lC,high,Vowel,palp,a,palpa,0.0,,0.0,0.0,,lp-a,lC+Vowel,palpa,palpa
76,89,152,556014,option_2,뱉나,5,C,low,Sonorant,peT,na,peTna,,0.0,,,,T-n,C+Sonorant,peTna,petna
77,66,58,556014,option_1,뱉어,5,C,low,Vowel,peT,v,peTv,0.0,,,,,T-v,C+Vowel,peTv,petdv
78,145,81,556014,option_2,뱉다,5,C,low,Obstruent,peT,ta,peTta,1.0,,,,,T-t,C+Obstruent,petda,petda
79,152,49,556014,option_2,법다,1,C,nonce,Obstruent,kvp,ta,kvpta,1.0,,,,,p-t,C+Obstruent,pvpda,kvpda
80,137,42,556014,option_1,법나,1,C,nonce,Sonorant,kvp,na,kvpna,,1.0,,,,p-n,C+Sonorant,pvmna,kvpna
81,139,16,556014,option_1,법어,1,C,nonce,Vowel,kvp,v,kvpv,0.0,,,,,p-v,C+Vowel,pvpv,kvpv
82,83,131,556014,option_1,붉나,5,lC,high,Sonorant,pulk,na,pulkna,,1.0,1.0,0.0,0.0,lk-n,lC+Sonorant,puNna,pulkna
83,179,8,556014,option_3,붉다,5,lC,high,Obstruent,pulk,ta,pulkta,1.0,,0.0,1.0,,lk-t,lC+Obstruent,pulda,pulda
84,53,117,556014,option_1,붉어,5,lC,high,Vowel,pulk,v,pulkv,0.0,,0.0,0.0,,lk-v,lC+Vowel,pulkv,pulkv
85,35,174,556014,option_3,붍다,1,lC,nonce,Obstruent,pulT,ta,pulTta,1.0,,0.0,1.0,,lT-t,lC+Obstruent,pulda,pulda
86,50,116,556014,option_4,붍나,1,lC,nonce,Sonorant,pulT,na,pulTna,,0.0,0.0,1.0,0.0,lT-n,lC+Sonorant,pulna,pulkna
87,62,74,556014,option_1,붍어,1,lC,nonce,Vowel,pulT,v,pulTv,0.0,,0.0,0.0,,lT-v,lC+Vowel,pulTv,pulkv
88,31,165,556014,option_2,뽑나,5,C,high,Sonorant,p*op,na,p*opna,,0.0,,,,p-n,C+Sonorant,bopna,popna
89,113,120,556014,option_2,뽑다,5,C,high,Obstruent,p*op,ta,p*opta,1.0,,,,,p-t,C+Obstruent,bopda,popda
90,5,87,556014,option_1,뽑아,5,C,high,Vowel,p*op,a,p*opa,0.0,,,,,p-a,C+Vowel,bopa,popapa
91,126,130,556014,option_1,속아,5,C,low,Vowel,sok,a,soka,0.0,,,,,k-a,C+Vowel,soka,sokga
92,153,9,556014,option_2,속다,5,C,low,Obstruent,sok,ta,sokta,1.0,,,,,k-t,C+Obstruent,sokda,sokda
93,46,135,556014,option_2,속나,5,C,low,Sonorant,sok,na,sokna,,0.0,,,,k-n,C+Sonorant,sokna,*soNa
94,73,119,556014,option_3,숡다,1,lC,nonce,Obstruent,sulk,ta,sulkta,1.0,,0.0,1.0,,lk-t,lC+Obstruent,sulda,sulkda
95,64,138,556014,option_4,숡나,1,lC,nonce,Sonorant,sulk,na,sulkna,,0.0,0.0,1.0,0.0,lk-n,lC+Sonorant,sulna,*sumna
96,100,97,556014,option_1,숡어,1,lC,nonce,Vowel,sulk,v,sulkv,0.0,,0.0,0.0,,lk-v,lC+Vowel,sulkv,sulkv
97,38,72,556014,option_1,식어,5,C,low,Vowel,sik,v,sikv,0.0,,,,,k-v,C+Vowel,sikv,sikv
98,9,136,556014,option_1,식나,5,C,low,Sonorant,sik,na,sikna,,1.0,,,,k-n,C+Sonorant,siNna,sikna
99,115,115,556014,option_2,식다,5,C,low,Obstruent,sik,ta,sikta,1.0,,,,,k-t,C+Obstruent,sikda,sikda
100,63,38,556014,option_1,썩나,5,C,high,Sonorant,s*vk,na,s*vkna,,1.0,,,,k-n,C+Sonorant,SvNna,*svkga
101,52,171,556014,option_2,썩다,5,C,high,Obstruent,s*vk,ta,s*vkta,1.0,,,,,k-t,C+Obstruent,Svkda,svkda
102,17,175,556014,option_1,썩어,5,C,high,Vowel,s*vk,v,s*vkv,0.0,,,,,k-v,C+Vowel,Svkv,svkgv
103,71,177,556014,option_2,씹다,5,C,high,Obstruent,s*ip,ta,s*ipta,1.0,,,,,p-t,C+Obstruent,Sipda,sipda
104,163,156,556014,option_2,씹나,5,C,high,Sonorant,s*ip,na,s*ipna,,0.0,,,,p-n,C+Sonorant,Sipna,*sipna
105,130,157,556014,option_1,씹어,5,C,high,Vowel,s*ip,v,s*ipv,0.0,,,,,p-v,C+Vowel,Sipv,sipv
106,109,60,556014,option_1,앍아,1,lC,nonce,Vowel,alk,a,alka,0.0,,0.0,0.0,,lk-a,lC+Vowel,alka,alga
107,88,22,556014,option_1,앍나,1,lC,nonce,Sonorant,alk,na,alkna,,1.0,1.0,0.0,0.0,lk-n,lC+Sonorant,aNna,alna
108,122,41,556014,option_3,앍다,1,lC,nonce,Obstruent,alk,ta,alkta,1.0,,0.0,1.0,,lk-t,lC+Obstruent,alda,alda
109,123,125,556014,option_1,얇나,5,lC,low,Sonorant,yalp,na,yalpna,,1.0,1.0,0.0,0.0,lp-n,lC+Sonorant,yamna,yalpna
110,108,40,556014,option_1,얇아,5,lC,low,Vowel,yalp,a,yalpa,0.0,,0.0,0.0,,lp-a,lC+Vowel,yalpa,yalpa
111,54,133,556014,option_3,얇다,5,lC,low,Obstruent,yalp,ta,yalpta,1.0,,0.0,1.0,,lp-t,lC+Obstruent,yalda,yalda
112,133,144,556014,option_1,얕나,5,C,low,Sonorant,yaT,na,yaTna,,1.0,,,,T-n,C+Sonorant,yanna,yaNna
113,94,153,556014,option_2,얕다,5,C,low,Obstruent,yaT,ta,yaTta,1.0,,,,,T-t,C+Obstruent,yatda,yatda
114,180,92,556014,option_1,얕아,5,C,low,Vowel,yaT,a,yaTa,0.0,,,,,T-a,C+Vowel,yaTa,yatda
115,93,53,556014,option_1,얽나,1,lC,low,Sonorant,vlk,na,vlkna,,1.0,1.0,0.0,0.0,lk-n,lC+Sonorant,vNna,vlkna
116,25,43,556014,option_1,얽어,1,lC,low,Vowel,vlk,v,vlkv,0.0,,0.0,0.0,,lk-v,lC+Vowel,vlkv,vlkv
117,33,24,556014,option_3,얽다,1,lC,low,Obstruent,vlk,ta,vlkta,1.0,,0.0,1.0,,lk-t,lC+Obstruent,vlda,vlda
118,10,33,556014,option_2,업다,5,C,low,Obstruent,vp,ta,vpta,1.0,,,,,p-t,C+Obstruent,vpda,vpda
119,51,52,556014,option_1,업어,5,C,low,Vowel,vp,v,vpv,0.0,,,,,p-v,C+Vowel,vpv,vpv
120,117,6,556014,option_1,업나,5,C,low,Sonorant,vp,na,vpna,,1.0,,,,p-n,C+Sonorant,vmna,vpan
121,154,35,556014,option_1,엎나,5,C,low,Sonorant,vP,na,vPna,,1.0,,,,P-n,C+Sonorant,vmna,vpna
122,159,160,556014,option_2,엎다,5,C,low,Obstruent,vP,ta,vPta,1.0,,,,,P-t,C+Obstruent,vpda,vpda
123,79,179,556014,option_1,엎어,5,C,low,Vowel,vP,v,vPv,0.0,,,,,P-v,C+Vowel,vPv,vpv
124,178,124,556014,option_2,엷다,5,lC,low,Obstruent,yvlp,ta,yvlpta,1.0,,0.0,0.0,,lp-t,lC+Obstruent,jvlpda,yvlda
125,142,129,556014,option_3,엷나,5,lC,low,Sonorant,yvlp,na,yvlpna,,0.0,1.0,0.0,0.0,lp-n,lC+Sonorant,jvpna,yvlpna
126,58,158,556014,option_1,엷어,5,lC,low,Vowel,yvlp,v,yvlpv,0.0,,0.0,0.0,,lp-v,lC+Vowel,jvlpv,yvlpv
127,164,59,556014,option_2,옅다,5,C,low,Obstruent,yvT,ta,yvTta,1.0,,,,,T-t,C+Obstruent,jvtda,yvtda
128,165,99,556014,option_1,옅어,5,C,low,Vowel,yvT,v,yvTv,0.0,,,,,T-v,C+Vowel,jvTv,yvtdv
129,150,86,556014,option_1,옅나,5,C,low,Sonorant,yvT,na,yvTna,,1.0,,,,T-n,C+Sonorant,jvnna,yvtda
130,27,137,556014,option_2,웁다,1,C,nonce,Obstruent,up,ta,upta,1.0,,,,,p-t,C+Obstruent,upda,upda
131,26,176,556014,option_1,웁어,1,C,nonce,Vowel,up,v,upv,0.0,,,,,p-v,C+Vowel,upv,upv
132,7,96,556014,option_1,웁나,1,C,nonce,Sonorant,up,na,upna,,1.0,,,,p-n,C+Sonorant,umna,upna
133,110,93,556014,option_3,읊나,5,lC,low,Sonorant,xlP,na,xlPna,,0.0,1.0,0.0,0.0,lP-n,lC+Sonorant,xPna,xNna
134,14,159,556014,option_1,읊어,5,lC,low,Vowel,xlP,v,xlPv,0.0,,0.0,0.0,,lP-v,lC+Vowel,xlPv,xlpv
135,172,149,556014,option_2,읊다,5,lC,low,Obstruent,xlP,ta,xlPta,1.0,,0.0,0.0,,lP-t,lC+Obstruent,xlPda,xlda
136,60,126,556014,option_1,익어,5,C,low,Vowel,ik,v,ikv,0.0,,,,,k-v,C+Vowel,ikv,ikv
137,105,54,556014,option_1,익나,5,C,low,Sonorant,ik,na,ikna,,1.0,,,,k-n,C+Sonorant,iNna,ikna
138,114,109,556014,option_2,익다,5,C,low,Obstruent,ik,ta,ikta,1.0,,,,,k-t,C+Obstruent,ikda,ikda
139,81,45,556014,option_1,읽어,5,lC,high,Vowel,ilk,v,ilkv,0.0,,0.0,0.0,,lk-v,lC+Vowel,ilkv,ilkv
140,103,150,556014,option_1,읽나,5,lC,high,Sonorant,ilk,na,ilkna,,1.0,1.0,0.0,0.0,lk-n,lC+Sonorant,iNna,ilna
141,134,29,556014,option_3,읽다,5,lC,high,Obstruent,ilk,ta,ilkta,1.0,,0.0,1.0,,lk-t,lC+Obstruent,ilda,ilda
142,36,71,556014,option_2,입다,5,C,high,Obstruent,ip,ta,ipta,1.0,,,,,p-t,C+Obstruent,ipda,ipda
143,98,105,556014,option_2,입나,5,C,high,Sonorant,ip,na,ipna,,0.0,,,,p-n,C+Sonorant,ipna,ipna
144,155,21,556014,option_1,입어,5,C,high,Vowel,ip,v,ipv,0.0,,,,,p-v,C+Vowel,ipv,ipv
145,3,108,556014,option_2,작나,5,C,high,Sonorant,cak,na,cakna,,0.0,,,,k-n,C+Sonorant,cakna,cakna
146,65,121,556014,option_2,작다,5,C,high,Obstruent,cak,ta,cakta,1.0,,,,,k-t,C+Obstruent,cakda,cakda
147,128,141,556014,option_1,작아,5,C,high,Vowel,cak,a,caka,0.0,,,,,k-a,C+Vowel,caka,cakga
148,119,66,556014,option_1,적어,5,C,high,Vowel,cvk,v,cvkv,0.0,,,,,k-v,C+Vowel,cvkv,cvkv
149,162,140,556014,option_2,적다,5,C,high,Obstruent,cvk,ta,cvkta,1.0,,,,,k-t,C+Obstruent,cvkda,cvkda
150,84,146,556014,option_1,적나,5,C,high,Sonorant,cvk,na,cvkna,,1.0,,,,k-n,C+Sonorant,cvNna,cvkna
151,166,79,556014,option_2,접다,5,C,high,Obstruent,cvp,ta,cvpta,1.0,,,,,p-t,C+Obstruent,cvpda,cvpda
152,45,34,556014,option_1,접어,5,C,high,Vowel,cvp,v,cvpv,0.0,,,,,p-v,C+Vowel,cvpv,cvpv
153,160,123,556014,option_1,접나,5,C,high,Sonorant,cvp,na,cvpna,,1.0,,,,p-n,C+Sonorant,cvmna,cvpna
154,151,180,556014,option_2,직다,1,C,nonce,Obstruent,cik,ta,cikta,1.0,,,,,k-t,C+Obstruent,cikda,cikda
155,22,85,556014,option_1,직어,1,C,nonce,Vowel,cik,v,cikv,0.0,,,,,k-v,C+Vowel,cikv,cikv
156,173,61,556014,option_1,직나,1,C,nonce,Sonorant,cik,na,cikna,,1.0,,,,k-n,C+Sonorant,ciNna,cikna
157,138,166,556014,option_1,짉나,1,lC,nonce,Sonorant,cilk,na,cilkna,,1.0,1.0,0.0,0.0,lk-n,lC+Sonorant,ciNna,cilkna
158,90,151,556014,option_1,짉어,1,lC,nonce,Vowel,cilk,v,cilkv,0.0,,0.0,0.0,,lk-v,lC+Vowel,cilkv,cilkv
159,125,106,556014,option_2,짉다,1,lC,nonce,Obstruent,cilk,ta,cilkta,1.0,,0.0,0.0,,lk-t,lC+Obstruent,cilkda,cilda
160,29,57,556014,option_2,집다,5,C,high,Obstruent,cip,ta,cipta,1.0,,,,,p-t,C+Obstruent,cipda,cipda
161,48,95,556014,option_1,집나,5,C,high,Sonorant,cip,na,cipna,,1.0,,,,p-n,C+Sonorant,cimna,cipna
162,12,118,556014,option_1,집어,5,C,high,Vowel,cip,v,cipv,0.0,,,,,p-v,C+Vowel,cipv,cipv
163,21,75,556014,option_1,짧아,5,lC,high,Vowel,Jalp,a,Jalpa,0.0,,0.0,0.0,,lp-a,lC+Vowel,Jalpa,Jalpa
164,16,142,556014,option_6,짧나,5,lC,high,Sonorant,Jalp,na,Jalpna,,1.0,0.0,0.0,0.0,lp-n,lC+Sonorant,Jalmna,Jalpna
165,69,162,556014,option_2,짧다,5,lC,high,Obstruent,Jalp,ta,Jalpta,1.0,,0.0,0.0,,lp-t,lC+Obstruent,Jalpda,Jalda
166,144,134,556014,option_1,찍나,5,C,low,Sonorant,Jik,na,Jikna,,1.0,,,,k-n,C+Sonorant,JiNna,Jikna
167,47,27,556014,option_1,찍어,5,C,low,Vowel,Jik,v,Jikv,0.0,,,,,k-v,C+Vowel,Jikv,Jikv
168,4,55,556014,option_2,찍다,5,C,low,Obstruent,Jik,ta,Jikta,1.0,,,,,k-t,C+Obstruent,Jikda,Jikda
169,61,4,556014,option_2,착다,1,C,nonce,Obstruent,Cak,ta,Cakta,1.0,,,,,k-t,C+Obstruent,Cakda,Cakda
170,32,169,556014,option_2,착나,1,C,nonce,Sonorant,Cak,na,Cakna,,0.0,,,,k-n,C+Sonorant,Cakna,Cakna
171,129,168,556014,option_1,착아,1,C,nonce,Vowel,Cak,a,Caka,0.0,,,,,k-a,C+Vowel,Caka,Caka
172,85,101,556014,option_1,톱나,1,C,nonce,Sonorant,Top,na,Topna,,1.0,,,,p-n,C+Sonorant,Tomna,topna
173,57,12,556014,option_2,톱다,1,C,nonce,Obstruent,Top,ta,Topta,1.0,,,,,p-t,C+Obstruent,Topda,topda
174,95,18,556014,option_1,톱아,1,C,nonce,Vowel,Top,a,Topa,0.0,,,,,p-a,C+Vowel,Topa,topa
175,135,63,556014,option_3,핥다,5,lC,low,Obstruent,halT,ta,halTta,1.0,,0.0,1.0,,lT-t,lC+Obstruent,halda,halda
176,34,163,556014,option_1,핥아,5,lC,low,Vowel,halT,a,halTa,0.0,,0.0,0.0,,lT-a,lC+Vowel,halTa,halga
177,76,143,556014,option_4,핥나,5,lC,low,Sonorant,halT,na,halTna,,0.0,0.0,1.0,0.0,lT-n,lC+Sonorant,halna,halpna
178,143,89,556014,option_4,훑나,5,lC,low,Sonorant,hulT,na,hulTna,,0.0,0.0,1.0,0.0,lT-n,lC+Sonorant,hulna,hulpna
179,77,128,556014,option_3,훑다,5,lC,low,Obstruent,hulT,ta,hulTta,1.0,,0.0,1.0,,lT-t,lC+Obstruent,hulda,hulda
180,124,36,556014,option_1,훑어,5,lC,low,Vowel,hulT,v,hulTv,0.0,,0.0,0.0,,lT-v,lC+Vowel,hulTv,hulkv
181,46,129,556033,option_3,갉다,5,lC,low,Obstruent,kalk,ta,kalkta,1.0,,0.0,1.0,,lk-t,lC+Obstruent,kalda,kalda
182,146,42,556033,option_1,갉아,5,lC,low,Vowel,kalk,a,kalka,0.0,,0.0,0.0,,lk-a,lC+Vowel,kalka,kalga
183,105,39,556033,option_2,갉나,5,lC,low,Sonorant,kalk,na,kalkna,,0.0,0.0,0.0,0.0,lk-n,lC+Sonorant,kalkna,kalna
184,35,178,556033,option_1,겊어,1,C,nonce,Vowel,kvP,v,kvPv,0.0,,,,,P-v,C+Vowel,kvPv,kvpdv
185,127,10,556033,option_2,겊다,1,C,nonce,Obstruent,kvP,ta,kvPta,1.0,,,,,P-t,C+Obstruent,kvpda,kvpda
186,119,62,556033,option_2,겊나,1,C,nonce,Sonorant,kvP,na,kvPna,,0.0,,,,P-n,C+Sonorant,kvPna,kvpna
